$Concentration file for segment 31

JDAY,     TDS,    Gen1,    Gen2,    Gen3,    ISS1,     PO4,     NH4,     NO3,      FE,    LDOM,    RDOM,    LPOM,    ALG1,      DO,     TIC,     ALK,
    64.500,   51.0000,  100.0000,    0.0000,   10.0000,    2.0000,    0.0010,    0.0020,    0.1400,    0.1000,    0.7000,    2.0220,    0.1000,    0.0581,   10.8430,   11.9100,   31.0000,
    64.625,   51.0000,  100.0000,    0.0835,    9.2905,    1.9931,    0.0010,    0.0023,    0.1400,    0.0993,    0.6963,    2.0221,    0.0998,    0.0571,   10.8280,   11.9100,   31.0000,
    64.708,   51.0000,  100.0000,    0.1670,    8.6189,    1.9869,    0.0010,    0.0026,    0.1400,    0.0987,    0.6926,    2.0222,    0.0995,    0.0552,   10.8058,   11.9100,   31.0000,
    64.833,   51.0000,  100.0000,    0.2922,    7.7030,    1.9793,    0.0011,    0.0031,    0.1400,    0.0979,    0.6871,    2.0223,    0.0992,    0.0516,   10.7782,   11.9100,   31.0000,
    64.917,   51.0000,  100.0000,    0.3754,    7.1390,    1.9745,    0.0011,    0.0034,    0.1400,    0.0974,    0.6835,    2.0224,    0.0990,    0.0492,   10.7597,   11.9100,   31.0000,
    65.000,   51.0000,  100.0000,    0.4585,    6.6351,    1.9669,    0.0011,    0.0037,    0.1400,    0.0967,    0.6798,    2.0225,    0.0987,    0.0481,   10.7526,   11.9100,   31.0000,
    65.125,   51.0000,  100.0000,    0.5829,    5.9312,    1.9516,    0.0011,    0.0041,    0.1400,    0.0952,    0.6743,    2.0226,    0.0982,    0.0507,   10.7864,   11.9100,   31.0000,
    65.210,   51.0000,  100.0000,    0.6833,    5.4099,    1.9054,    0.0011,    0.0045,    0.1400,    0.0907,    0.6696,    2.0227,    0.0971,    0.0666,   10.9367,   11.9100,   31.0000,
    65.316,   51.0000,  100.0000,    0.7912,    4.9088,    1.8436,    0.0011,    0.0049,    0.1400,    0.0847,    0.6645,    2.0228,    0.0957,    0.0837,   11.0648,   11.9100,   31.0000,
    65.419,   51.0000,  100.0000,    0.8920,    4.4874,    1.8128,    0.0011,    0.0053,    0.1400,    0.0817,    0.6599,    2.0229,    0.0949,    0.0891,   11.0859,   11.9100,   31.0000,
    65.500,   51.0000,  100.0000,    0.9789,    4.1551,    1.7872,    0.0011,    0.0056,    0.1400,    0.0793,    0.6560,    2.0230,    0.0943,    0.0931,   11.0985,   11.9100,   31.0000,
    65.611,   51.0000,  100.0000,    1.0801,    3.7983,    1.7669,    0.0012,    0.0060,    0.1399,    0.0775,    0.6515,    2.0231,    0.0937,    0.0935,   11.0989,   11.9100,   31.0000,
    65.717,   51.0000,  100.0000,    1.1783,    3.4801,    1.7213,    0.0012,    0.0064,    0.1399,    0.0736,    0.6469,    2.0232,    0.0925,    0.0936,   11.1070,   11.9100,   31.0000,
    65.801,   51.0000,  100.0000,    1.2586,    3.2377,    1.7039,    0.0012,    0.0067,    0.1399,    0.0721,    0.6432,    2.0233,    0.0920,    0.0932,   11.1053,   11.9100,   31.0000,
    65.906,   51.0000,  100.0000,    1.3568,    2.9636,    1.6807,    0.0012,    0.0071,    0.1399,    0.0701,    0.6386,    2.0234,    0.0913,    0.0926,   11.1027,   11.9100,   31.0000,
    66.000,   51.0000,  100.0000,    1.4560,    2.7095,    1.6618,    0.0012,    0.0074,    0.1399,    0.0685,    0.6339,    2.0235,    0.0908,    0.0921,   11.0989,   11.9100,   31.0000,
    66.117,   51.0000,  100.0000,    1.5579,    2.4708,    1.6556,    0.0012,    0.0078,    0.1399,    0.0680,    0.6294,    2.0236,    0.0906,    0.0917,   11.0925,   11.9100,   31.0000,
    66.207,   51.0000,  100.0000,    1.6481,    2.2779,    1.6506,    0.0012,    0.0081,    0.1399,    0.0675,    0.6254,    2.0237,    0.0904,    0.0915,   11.0869,   11.9100,   31.0000,
    66.328,   51.0000,  100.0000,    1.7747,    2.0298,    1.6539,    0.0013,    0.0086,    0.1399,    0.0678,    0.6200,    2.0238,    0.0905,    0.0910,   11.0749,   11.9100,   31.0000,
    66.411,   51.0000,  100.0000,    1.8626,    1.8774,    1.6593,    0.0013,    0.0089,    0.1399,    0.0682,    0.6164,    2.0239,    0.0906,    0.0901,   11.0594,   11.9100,   31.0000,
    66.500,   51.0000,  100.0000,    1.9817,    1.6867,    1.6604,    0.0013,    0.0093,    0.1399,    0.0682,    0.6114,    2.0240,    0.0906,    0.0899,   11.0502,   11.9100,   31.0000,
    66.618,   51.0000,  100.0000,    2.0706,    1.5589,    1.6725,    0.0013,    0.0095,    0.1399,    0.0692,    0.6079,    2.0241,    0.0909,    0.0891,   11.0331,   11.9100,   31.0000,
    66.734,   51.0000,  100.0000,    2.1919,    1.4000,    1.6985,    0.0014,    0.0099,    0.1400,    0.0712,    0.6034,    2.0242,    0.0915,    0.0867,   10.9876,   11.9100,   31.0000,
    66.817,   51.0000,  100.0000,    2.2786,    1.2964,    1.7090,    0.0014,    0.0102,    0.1400,    0.0719,    0.6000,    2.0242,    0.0918,    0.0864,   10.9811,   11.9100,   31.0000,
    66.905,   51.0000,  100.0000,    2.3702,    1.1958,    1.7203,    0.0014,    0.0105,    0.1400,    0.0728,    0.5965,    2.0243,    0.0920,    0.0857,   10.9708,   11.9100,   31.0000,
    67.000,   51.0000,  100.0000,    2.4888,    1.0783,    1.7364,    0.0014,    0.0108,    0.1400,    0.0740,    0.5922,    2.0244,    0.0924,    0.0845,   10.9511,   11.9100,   31.0000,
    67.118,   51.0000,  100.0000,    2.5887,    0.9883,    1.7451,    0.0015,    0.0111,    0.1400,    0.0747,    0.5885,    2.0245,    0.0926,    0.0835,   10.9332,   11.9100,   31.0000,
    67.222,   51.0000,  100.0000,    2.6855,    0.9079,    1.7544,    0.0015,    0.0114,    0.1401,    0.0754,    0.5850,    2.0246,    0.0928,    0.0821,   10.9118,   11.9100,   31.0000,
    67.324,   51.0000,  100.0000,    2.7858,    0.8318,    1.7651,    0.0015,    0.0117,    0.1401,    0.0762,    0.5816,    2.0246,    0.0929,    0.0801,   10.8787,   11.9100,   31.0000,
    67.412,   51.0000,  100.0000,    2.8754,    0.7703,    1.7767,    0.0015,    0.0119,    0.1401,    0.0772,    0.5787,    2.0247,    0.0931,    0.0774,   10.8317,   11.9100,   31.0000,
    67.500,   51.0000,  100.0000,    2.9874,    0.6988,    1.7882,    0.0016,    0.0122,    0.1401,    0.0782,    0.5750,    2.0248,    0.0933,    0.0747,   10.7815,   11.9100,   31.0000,
