 "Temperature interval,","Fraction of volume"
 30.00,  0.7340E-01,
 29.00,  0.3168E-01,
 28.00,  0.1642E-01,
 27.00,  0.2116E-01,
 26.00,  0.2603E-01,
 25.00,  0.1709E-01,
 24.00,  0.1640E-01,
 23.00,  0.1622E-01,
 22.00,  0.1703E-01,
 21.00,  0.3034E-01,
 20.00,  0.3511E-01,
 19.00,  0.2467E-01,
 18.00,  0.2321E-01,
 17.00,  0.2788E-01,
 16.00,  0.4720E-01,
 15.00,  0.3435E-01,
 14.00,  0.2606E-01,
 13.00,  0.4831E-01,
 12.00,  0.5371E-01,
 11.00,  0.4138E+00,

 Sum of fractions,   0.1000E+01

 Average,   0.1639E+02
