$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:115.     

JDAY,QWD(m3s-1)
    64.500,   22.0050
    64.625,   20.9225
    64.708,   19.8400
    64.833,   18.2162
    64.917,   17.1337
    65.000,   16.0513
    65.125,   15.5750
    65.210,   15.6536
    65.316,   15.7396
    65.419,   15.8196
    65.500,   15.8891
    65.611,   15.9695
    65.717,   16.0507
    65.801,   16.1145
    65.906,   16.1925
    66.000,   16.2710
    66.117,   16.8681
    66.207,   17.5385
    66.328,   18.4638
    66.411,   19.1026
    66.500,   19.9820
    66.618,   20.6348
    66.734,   21.5251
    66.817,   22.1725
    66.905,   22.8526
    67.000,   23.7343
    67.118,   22.1728
    67.222,   20.4779
    67.324,   18.7226
    67.412,   17.1523
    67.500,   15.1901
    67.611,   13.6476
    67.705,   12.0419
    67.833,    9.7773
    67.917,    8.3023
    68.000,    6.8273
    68.125,    6.5826
    68.208,    7.0751
    68.333,    7.8138
    68.415,    8.3063
    68.500,    8.9691
    68.619,    9.5871
    68.717,   10.1956
    68.817,   10.7828
    68.900,   11.2613
    69.000,   11.8943
    69.125,   10.9045
    69.219,    9.8279
    69.316,    8.7181
    69.412,    7.6461
    69.500,    6.2903
    69.602,    5.3899
    69.705,    4.1092
    69.826,    2.7127
    69.903,    1.8411
    70.000,    0.5002
    70.125,    0.3900
    70.226,    0.3900
    70.318,    0.3900
    70.409,    0.3900
    70.500,    0.3900
    70.602,    0.3900
    70.718,    0.3900
    70.807,    0.3900
    70.905,    0.3900
    71.000,    0.3900
    71.117,    3.0706
    71.212,    5.9837
    71.313,    9.0072
    71.411,   11.8654
    71.500,   15.1302
    71.600,   17.7871
    71.710,   21.2665
    71.804,   24.1613
    71.924,   27.9180
    72.000,   30.8720
    72.118,   30.2971
    72.220,   29.5645
    72.304,   28.9758
    72.407,   28.2562
    72.500,   27.5391
    72.615,   26.7051
    72.712,   26.0163
    72.817,   25.2832
    72.911,   24.6112
    73.000,   23.8246
    73.104,   22.0651
    73.221,   19.2914
    73.304,   17.1831
    73.411,   14.5302
    73.500,   12.1083
    73.604,    9.8406
    73.707,    7.4472
    73.807,    5.1820
    73.909,    2.9354
    74.000,    0.6582
    74.116,    0.4000
    74.221,    0.4000
    74.320,    0.4000
    74.400,    0.4000
    74.500,    0.4000
