JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    Gen2,    Gen3,    ISS1,     PO4,     NH4,     NO3,      FE,    LDOM,    RDOM,    LPOM,    ALG1,      DO,     TIC,     ALK,DOREAR  (kg/d),DOSED   (kg/d),APLIM,ANLIM,ALLIM
    64.500,  3600.000,   123.798,     7.400,     0.001,     0.000,   266.360,     0.450,    57.448,   783.000,     1.000,     6.977,   253.587,   250.378,   317.874,   341.344,     1.715,   -28.395,    51.000,   100.000,     0.000,    10.000,     2.000,     1.000,     2.000,     0.140,     0.100,     0.700,     2.022,     0.100,     0.100,    11.100,    11.910,    31.000, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000
    64.625,  3600.000,   123.797,     7.540,     0.001,     0.000,   237.458,     0.510,    57.447,   783.000,     1.000,     6.986,   238.386,   223.211,   322.826,   341.819,    -0.893,   -33.275,    51.000,   100.000,     0.127,     8.912,     1.939,     1.006,     2.484,     0.140,     0.094,     0.694,     2.022,     0.098,     0.100,    11.113,    11.910,    31.000, 0.548E+03, 0.000E+00,     0.087,     0.910,     0.829
    64.708,  3600.000,   123.795,     7.583,     0.001,     0.000,   123.396,     0.509,    57.445,   783.000,     1.000,     6.987,   153.907,   115.992,   329.222,   342.138,    -9.099,   -41.732,    51.000,   100.000,     0.212,     8.261,     1.908,     1.013,     2.811,     0.140,     0.091,     0.690,     2.022,     0.098,     0.100,    11.118,    11.910,    31.000, 0.516E+03, 0.000E+00,     0.089,     0.911,     0.724
    64.833,  3600.000,   123.794,     7.574,     0.001,     0.000,     0.000,     0.508,    57.444,   783.000,     1.000,     6.975,    71.102,     0.000,   339.722,   342.227,   -25.030,   -48.577,    51.000,   100.000,     0.341,     7.348,     1.875,     1.030,     3.299,     0.140,     0.088,     0.684,     2.022,     0.097,     0.099,    11.125,    11.910,    31.000, 0.673E+03, 0.000E+00,     0.091,     0.911,     0.027
    64.917,  3600.000,   123.793,     7.538,     0.001,     0.000,     0.000,     0.508,    57.443,   783.000,     1.000,     6.975,    64.391,     0.000,   344.956,   342.220,   -23.119,   -38.536,    51.000,   100.000,     0.425,     6.816,     1.873,     1.048,     3.605,     0.140,     0.088,     0.681,     2.022,     0.097,     0.097,    11.116,    11.910,    31.000, 0.236E+03, 0.000E+00,     0.094,     0.911,     0.000
    65.000,  3600.000,   123.792,     7.564,     0.001,     0.000,     0.000,     0.508,    57.442,   783.000,     1.000,     6.986,    67.050,     0.000,   342.093,   342.077,   -29.480,   -37.553,    51.000,   100.000,     0.507,     6.318,     1.835,     1.051,     3.914,     0.140,     0.084,     0.677,     2.023,     0.096,     0.097,    11.116,    11.910,    31.000, 0.235E+03, 0.000E+00,     0.094,     0.911,     0.000
    65.125,  3600.000,   123.792,     7.544,     0.001,     0.000,     0.000,     0.507,    57.442,   783.000,     1.000,     7.020,   -37.212,     0.000,   310.564,   342.087,    24.371,   -18.681,    51.000,   100.000,     0.626,     5.673,     1.802,     1.065,     4.355,     0.140,     0.081,     0.672,     2.023,     0.095,     0.096,    11.111,    11.910,    31.000, 0.239E+03, 0.000E+00,     0.096,     0.911,     0.000
    65.210,  2220.255,   123.791,     7.511,     0.001,     0.000,     0.000,     0.506,    57.441,   783.000,     1.000,     7.070,  -144.320,     0.000,   263.328,   341.915,    55.212,    10.520,    51.000,   100.000,     0.705,     5.288,     1.788,     1.078,     4.648,     0.140,     0.080,     0.668,     2.023,     0.094,     0.097,    11.117,    11.910,    31.000, 0.766E+03, 0.000E+00,     0.098,     0.912,     0.000
    65.316,  1867.456,   123.789,     7.480,     0.001,     0.000,    39.271,     0.506,    57.439,   783.000,     1.000,     7.140,  -134.553,    36.915,   244.940,   341.759,    55.895,    18.755,    51.000,   100.000,     0.809,     4.826,     1.781,     1.099,     5.027,     0.140,     0.079,     0.663,     2.023,     0.094,     0.096,    11.112,    11.910,    31.000, 0.408E+03, 0.000E+00,     0.101,     0.912,     0.000
    65.419,  1917.808,   123.788,     7.527,     0.001,     0.000,   482.358,     0.505,    57.438,   783.000,     1.000,     7.202,   281.152,   453.417,   245.794,   341.832,    66.094,    10.133,    51.000,   100.000,     0.910,     4.414,     1.755,     1.109,     5.389,     0.140,     0.077,     0.659,     2.023,     0.093,     0.095,    11.115,    11.910,    31.000, 0.524E+03, 0.000E+00,     0.103,     0.912,     0.880
