$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:115.     

JDAY,T(C)
    64.500,    7.26
    64.625,    7.27
    64.708,    7.28
    64.833,    7.27
    64.917,    7.27
    65.000,    7.27
    65.125,    7.30
    65.210,    7.37
    65.316,    7.43
    65.419,    7.46
    65.500,    7.50
    65.611,    7.58
    65.717,    7.79
    65.801,    7.83
    65.906,    7.86
    66.000,    7.86
    66.117,    7.83
    66.207,    7.81
    66.328,    7.76
    66.411,    7.73
    66.500,    7.73
    66.618,    7.73
    66.734,    7.69
    66.817,    7.67
    66.905,    7.63
    67.000,    7.59
    67.118,    7.56
    67.222,    7.54
    67.324,    7.51
    67.412,    7.48
    67.500,    7.47
    67.611,    7.45
    67.705,    7.47
    67.833,    7.52
    67.917,    7.60
    68.000,    7.68
    68.125,    7.80
    68.208,    7.91
    68.333,    8.02
    68.415,    8.08
    68.500,    8.19
    68.619,    8.33
    68.717,    8.51
    68.817,    8.68
    68.900,    8.75
    69.000,    8.76
    69.125,    8.77
    69.219,    8.77
    69.316,    8.73
    69.412,    8.74
    69.500,    8.74
    69.602,    8.73
    69.705,    8.76
    69.826,    8.71
    69.903,    8.73
    70.000,    8.63
    70.125,    8.44
    70.226,    8.24
    70.318,    8.09
    70.409,    8.01
    70.500,    8.02
    70.602,    8.12
    70.718,    8.57
    70.807,    8.89
    70.905,    9.07
    71.000,    9.14
    71.117,    9.09
    71.212,    8.98
    71.313,    8.87
    71.411,    8.81
    71.500,    8.73
    71.600,    8.56
    71.710,    8.40
    71.804,    8.29
    71.924,    8.13
    72.000,    7.95
    72.118,    7.76
    72.220,    7.57
    72.304,    7.48
    72.407,    7.41
    72.500,    7.34
    72.615,    7.26
    72.712,    7.21
    72.817,    7.18
    72.911,    7.17
    73.000,    7.17
    73.104,    7.19
    73.221,    7.24
    73.304,    7.37
    73.411,    7.58
    73.500,    7.89
    73.604,    8.34
    73.707,    8.79
    73.807,    8.94
    73.909,    8.95
    74.000,    8.94
