# Temperature,_water.degC.EXO@12301933.20200101.csv generated at 2022-12-28 16:00:09 (UTC+00:00) by AQUARIUS Time-Series 21.4.366.0
# 
# Time-series identifier: Temperature, water.degC.EXO@12301933
# Location: Kootenai River bl Libby Dam nr Libby MT
# UTC offset: (UTC-07:00)
# Value units: degC
# Value parameter: Temperature, water
# Interpolation type: Instantaneous Values
# Time-series type: Derived
# 
# Export options: Corrected signal from 2020-01-01T07:00:00Z to 2022-01-01T06:30:00Z
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC-07:00),Value,Approval Level,Grade,Qualifiers
2020-01-01T07:00:00Z,2020-01-01 00:00:00,6.16,Approved,50,
2020-01-01T07:15:00Z,2020-01-01 00:15:00,6.16,Approved,50,
2020-01-01T07:30:00Z,2020-01-01 00:30:00,6.16,Approved,50,
2020-01-01T07:45:00Z,2020-01-01 00:45:00,6.16,Approved,50,
2020-01-01T08:00:00Z,2020-01-01 01:00:00,6.16,Approved,50,
2020-01-01T08:15:00Z,2020-01-01 01:15:00,6.16,Approved,50,
2020-01-01T08:30:00Z,2020-01-01 01:30:00,6.16,Approved,50,
2020-01-01T08:45:00Z,2020-01-01 01:45:00,6.16,Approved,50,
2020-01-01T09:00:00Z,2020-01-01 02:00:00,6.16,Approved,50,
2020-01-01T09:15:00Z,2020-01-01 02:15:00,6.16,Approved,50,
2020-01-01T09:30:00Z,2020-01-01 02:30:00,6.16,Approved,50,
2020-01-01T09:45:00Z,2020-01-01 02:45:00,6.16,Approved,50,
2020-01-01T10:00:00Z,2020-01-01 03:00:00,6.15,Approved,50,
2020-01-01T10:15:00Z,2020-01-01 03:15:00,6.16,Approved,50,
2020-01-01T10:30:00Z,2020-01-01 03:30:00,6.16,Approved,50,
2020-01-01T10:45:00Z,2020-01-01 03:45:00,6.16,Approved,50,
2020-01-01T11:00:00Z,2020-01-01 04:00:00,6.15,Approved,50,
2020-01-01T11:15:00Z,2020-01-01 04:15:00,6.16,Approved,50,
2020-01-01T11:30:00Z,2020-01-01 04:30:00,6.16,Approved,50,
2020-01-01T11:45:00Z,2020-01-01 04:45:00,6.15,Approved,50,
2020-01-01T12:00:00Z,2020-01-01 05:00:00,6.16,Approved,50,
2020-01-01T12:15:00Z,2020-01-01 05:15:00,6.15,Approved,50,
2020-01-01T12:30:00Z,2020-01-01 05:30:00,6.16,Approved,50,
2020-01-01T12:45:00Z,2020-01-01 05:45:00,6.16,Approved,50,
2020-01-01T13:00:00Z,2020-01-01 06:00:00,6.15,Approved,50,
2020-01-01T13:15:00Z,2020-01-01 06:15:00,6.15,Approved,50,
2020-01-01T13:30:00Z,2020-01-01 06:30:00,6.15,Approved,50,
2020-01-01T13:45:00Z,2020-01-01 06:45:00,6.15,Approved,50,
2020-01-01T14:00:00Z,2020-01-01 07:00:00,6.14,Approved,50,
2020-01-01T14:15:00Z,2020-01-01 07:15:00,6.15,Approved,50,
2020-01-01T14:30:00Z,2020-01-01 07:30:00,6.15,Approved,50,
2020-01-01T14:45:00Z,2020-01-01 07:45:00,6.15,Approved,50,
2020-01-01T15:00:00Z,2020-01-01 08:00:00,6.15,Approved,50,
2020-01-01T15:15:00Z,2020-01-01 08:15:00,6.15,Approved,50,
2020-01-01T15:30:00Z,2020-01-01 08:30:00,6.15,Approved,50,
2020-01-01T15:45:00Z,2020-01-01 08:45:00,6.15,Approved,50,
2020-01-01T16:00:00Z,2020-01-01 09:00:00,6.15,Approved,50,
2020-01-01T16:15:00Z,2020-01-01 09:15:00,6.15,Approved,50,
2020-01-01T16:30:00Z,2020-01-01 09:30:00,6.15,Approved,50,
2020-01-01T16:45:00Z,2020-01-01 09:45:00,6.15,Approved,50,
2020-01-01T17:00:00Z,2020-01-01 10:00:00,6.16,Approved,50,
2020-01-01T17:15:00Z,2020-01-01 10:15:00,6.17,Approved,50,
2020-01-01T17:30:00Z,2020-01-01 10:30:00,6.18,Approved,50,
2020-01-01T17:45:00Z,2020-01-01 10:45:00,6.18,Approved,50,
2020-01-01T18:00:00Z,2020-01-01 11:00:00,6.19,Approved,50,
2020-01-01T18:15:00Z,2020-01-01 11:15:00,6.19,Approved,50,
2020-01-01T18:30:00Z,2020-01-01 11:30:00,6.2,Approved,50,
2020-01-01T18:45:00Z,2020-01-01 11:45:00,6.21,Approved,50,
2020-01-01T19:00:00Z,2020-01-01 12:00:00,6.21,Approved,50,
2020-01-01T19:15:00Z,2020-01-01 12:15:00,6.2,Approved,50,
2020-01-01T19:30:00Z,2020-01-01 12:30:00,6.2,Approved,50,
2020-01-01T19:45:00Z,2020-01-01 12:45:00,6.21,Approved,50,
2020-01-01T20:00:00Z,2020-01-01 13:00:00,6.2,Approved,50,
2020-01-01T20:15:00Z,2020-01-01 13:15:00,6.2,Approved,50,
2020-01-01T20:30:00Z,2020-01-01 13:30:00,6.2,Approved,50,
2020-01-01T20:45:00Z,2020-01-01 13:45:00,6.19,Approved,50,
2020-01-01T21:00:00Z,2020-01-01 14:00:00,6.19,Approved,50,
2020-01-01T21:15:00Z,2020-01-01 14:15:00,6.19,Approved,50,
2020-01-01T21:30:00Z,2020-01-01 14:30:00,6.19,Approved,50,
2020-01-01T21:45:00Z,2020-01-01 14:45:00,6.19,Approved,50,
2020-01-01T22:00:00Z,2020-01-01 15:00:00,6.18,Approved,50,
2020-01-01T22:15:00Z,2020-01-01 15:15:00,6.18,Approved,50,
2020-01-01T22:30:00Z,2020-01-01 15:30:00,6.19,Approved,50,
2020-01-01T22:45:00Z,2020-01-01 15:45:00,6.18,Approved,50,
2020-01-01T23:00:00Z,2020-01-01 16:00:00,6.17,Approved,50,
2020-01-01T23:15:00Z,2020-01-01 16:15:00,6.17,Approved,50,
2020-01-01T23:30:00Z,2020-01-01 16:30:00,6.16,Approved,50,
2020-01-01T23:45:00Z,2020-01-01 16:45:00,6.16,Approved,50,
2020-01-02T00:00:00Z,2020-01-01 17:00:00,6.16,Approved,50,
2020-01-02T00:15:00Z,2020-01-01 17:15:00,6.15,Approved,50,
2020-01-02T00:30:00Z,2020-01-01 17:30:00,6.15,Approved,50,
2020-01-02T00:45:00Z,2020-01-01 17:45:00,6.15,Approved,50,
2020-01-02T01:00:00Z,2020-01-01 18:00:00,6.15,Approved,50,
2020-01-02T01:15:00Z,2020-01-01 18:15:00,6.15,Approved,50,
2020-01-02T01:30:00Z,2020-01-01 18:30:00,6.14,Approved,50,
2020-01-02T01:45:00Z,2020-01-01 18:45:00,6.14,Approved,50,
2020-01-02T02:00:00Z,2020-01-01 19:00:00,6.14,Approved,50,
2020-01-02T02:15:00Z,2020-01-01 19:15:00,6.14,Approved,50,
2020-01-02T02:30:00Z,2020-01-01 19:30:00,6.14,Approved,50,
2020-01-02T02:45:00Z,2020-01-01 19:45:00,6.14,Approved,50,
2020-01-02T03:00:00Z,2020-01-01 20:00:00,6.14,Approved,50,
2020-01-02T03:15:00Z,2020-01-01 20:15:00,6.14,Approved,50,
2020-01-02T03:30:00Z,2020-01-01 20:30:00,6.14,Approved,50,
2020-01-02T03:45:00Z,2020-01-01 20:45:00,6.14,Approved,50,
2020-01-02T04:00:00Z,2020-01-01 21:00:00,6.14,Approved,50,
2020-01-02T04:15:00Z,2020-01-01 21:15:00,6.14,Approved,50,
2020-01-02T04:30:00Z,2020-01-01 21:30:00,6.14,Approved,50,
2020-01-02T04:45:00Z,2020-01-01 21:45:00,6.14,Approved,50,
2020-01-02T05:00:00Z,2020-01-01 22:00:00,6.13,Approved,50,
2020-01-02T05:15:00Z,2020-01-01 22:15:00,6.13,Approved,50,
2020-01-02T05:30:00Z,2020-01-01 22:30:00,6.13,Approved,50,
2020-01-02T05:45:00Z,2020-01-01 22:45:00,6.14,Approved,50,
2020-01-02T06:00:00Z,2020-01-01 23:00:00,6.13,Approved,50,
2020-01-02T06:15:00Z,2020-01-01 23:15:00,6.13,Approved,50,
2020-01-02T06:30:00Z,2020-01-01 23:30:00,6.14,Approved,50,
2020-01-02T06:45:00Z,2020-01-01 23:45:00,6.14,Approved,50,
2020-01-02T07:00:00Z,2020-01-02 00:00:00,6.13,Approved,50,
2020-01-02T07:15:00Z,2020-01-02 00:15:00,6.13,Approved,50,
2020-01-02T07:30:00Z,2020-01-02 00:30:00,6.13,Approved,50,
2020-01-02T07:45:00Z,2020-01-02 00:45:00,6.13,Approved,50,
2020-01-02T08:00:00Z,2020-01-02 01:00:00,6.13,Approved,50,
2020-01-02T08:15:00Z,2020-01-02 01:15:00,6.13,Approved,50,
2020-01-02T08:30:00Z,2020-01-02 01:30:00,6.13,Approved,50,
2020-01-02T08:45:00Z,2020-01-02 01:45:00,6.13,Approved,50,
2020-01-02T09:00:00Z,2020-01-02 02:00:00,6.13,Approved,50,
2020-01-02T09:15:00Z,2020-01-02 02:15:00,6.13,Approved,50,
2020-01-02T09:30:00Z,2020-01-02 02:30:00,6.14,Approved,50,
2020-01-02T09:45:00Z,2020-01-02 02:45:00,6.13,Approved,50,
2020-01-02T10:00:00Z,2020-01-02 03:00:00,6.13,Approved,50,
2020-01-02T10:15:00Z,2020-01-02 03:15:00,6.12,Approved,50,
2020-01-02T10:30:00Z,2020-01-02 03:30:00,6.12,Approved,50,
2020-01-02T10:45:00Z,2020-01-02 03:45:00,6.12,Approved,50,
2020-01-02T11:00:00Z,2020-01-02 04:00:00,6.12,Approved,50,
2020-01-02T11:15:00Z,2020-01-02 04:15:00,6.13,Approved,50,
2020-01-02T11:30:00Z,2020-01-02 04:30:00,6.12,Approved,50,
2020-01-02T11:45:00Z,2020-01-02 04:45:00,6.12,Approved,50,
2020-01-02T12:00:00Z,2020-01-02 05:00:00,6.12,Approved,50,
