# //UNITED STATES GEOLOGICAL SURVEY       https://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     https://water.usgs.gov/data/
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2023-01-03 02:19:13 UTC
# //FILE TYPE="NWIS-I DAILY-VALUES" EDITABLE=NO
# //DATABASE DESCRIPTION="AQUARIUS Time-Series"
# //STATION AGENCY="USGS " NUMBER="12301933       " TIME_ZONE="MST" DST_FLAG=Y
# //STATION NAME="Kootenai River bl Libby Dam nr Libby MT"
# //SUBLOCATION=""
# //DD DDID="   9" RoundingSpec="SIG(3,2)"
# //PARAMETER CODE="00060"
# //PARAMETER NAME="Discharge"
# //PARAMETER LNAME="Discharge"
# //PARAMETER UNITS="ft^3/s"
# //STATISTIC CODE="00003" SNAME="MEAN"
# //STATISTIC LNAME="MEAN VALUES"
# //TYPE NAME="FINAL" DESC = "EDITED AND COMPUTED DAILY VALUES"
# //TIMESERIES IDENTIFIER="Discharge.ft^3/s.FROM THE DCP.Mean@12301933"
# //TIMESERIES DESCRIPTION="DD009,FROM THE DCP,00060,ft^3/s,00003"
# //TIMESERIES LABEL="ft^3/s.FROM THE DCP.Mean"
# //TIMESERIES RAW START DATE="2008-10-01T00:00:00.0000000-07:00"
# //TIMESERIES RAW END DATE=  "2023-01-03T00:00:00.0000000-07:00"
# //TIMESERIES LAST MODIFIED= "2023-01-02T00:10:20.3825620-07:00"
# //TIMESERIES PRIMARY_FLAG="Primary"
# //TIMESERIES ACCESS_LEVEL="0-Public"
# //TIMESERIES WEB_DESCRIPTION=""
# //TIMESERIES PUBLISH="true"
# //TIMESERIES TYPE="ProcessorDerived"
# //TIMESERIES UNIQUEID="77319e80ce2944fda0038978f4556950"
# //QUALIFIER CODE="e  " DESC="Estimated"
# //AGING BEGIN=20181023134800 MDT END=20190617113300 MDT CODE=A
# //AGING   APPROVED=20200129142014 AZONE=MST AUSER="kfkirlin"
# //AGING BEGIN=20190617113300 MDT END=20190617163200 MDT CODE=A
# //AGING   APPROVED=20200213085147 AZONE=MST AUSER="sdavids"
# //AGING BEGIN=20190617163200 MDT END=20200115165000 MST CODE=A
# //AGING   APPROVED=20200129142105 AZONE=MST AUSER="kfkirlin"
# //AGING BEGIN=20200115165000 MST END=20200505145000 MDT CODE=A
# //AGING   APPROVED=20200508110721 AZONE=MDT AUSER="mmichelotti"
# //AGING BEGIN=20200505145000 MDT END=20200713154400 MDT CODE=A
# //AGING   APPROVED=20200729085426 AZONE=MDT AUSER="kfkirlin"
# //AGING BEGIN=20200713154400 MDT END=20201020162700 MDT CODE=A
# //AGING   APPROVED=20201029124608 AZONE=MDT AUSER="klhein"
# //AGING BEGIN=20201020162700 MDT END=20210106125400 MST CODE=A
# //AGING   APPROVED=20210111110422 AZONE=MST AUSER="klhein"
# //AGING BEGIN=20210106125400 MST END=20210622113000 MDT CODE=A
# //AGING   APPROVED=20210707150955 AZONE=MDT AUSER="klhein"
# //AGING BEGIN=20210622113000 MDT END=20211026122100 MDT CODE=A
# //AGING   APPROVED=20220225071346 AZONE=MST AUSER="dlhess"
# //AGING BEGIN=20211026122100 MDT END=20220405111400 MDT CODE=A
# //AGING   APPROVED=20220413121739 AZONE=MDT AUSER="kfkirlin"
# //AGING BEGIN=20220405111400 MDT END=20220726063900 MDT CODE=A
# //AGING   APPROVED=20221020094314 AZONE=MDT AUSER="dlhess"
# //AGING BEGIN=20220726063900 MDT END=20221117142600 MST CODE=A
# //AGING   APPROVED=20221216130802 AZONE=MST AUSER="baprice"
# //RANGE START="2019-01-01" END="2022-12-31"
DATE	TIME	VALUE	PRECISION	QUALIFIERS	TYPE	QA
8D	6S	16N	1S	32S	1S	1S
20190101		4.0679730E+03	3		C	A
20190102		4.0189459E+03	3		C	A
20190103		4.0226872E+03	3		C	A
20190104		4.0141855E+03	3		C	A
20190105		4.0132043E+03	3		C	A
20190106		4.0130297E+03	3		C	A
20190107		4.0148178E+03	3		C	A
20190108		3.9979159E+03	3		C	A
20190109		3.9921543E+03	3		C	A
20190110		4.0033962E+03	3		C	A
20190111		4.0030160E+03	3		C	A
20190112		3.9982488E+03	3		C	A
20190113		4.0049261E+03	3		C	A
20190114		4.0081247E+03	3		C	A
20190115		4.0056884E+03	3		C	A
20190116		4.0045095E+03	3		C	A
20190117		3.9778573E+03	3		C	A
20190118		3.9769844E+03	3		C	A
20190119		3.9790710E+03	3		C	A
20190120		3.9863229E+03	3		C	A
20190121		3.9871342E+03	3		C	A
20190122		3.9869531E+03	3		C	A
20190123		3.9874586E+03	3		C	A
20190124		3.9943086E+03	3		C	A
20190125		3.9901537E+03	3		C	A
20190126		3.9954232E+03	3		C	A
20190127		3.9895761E+03	3		C	A
20190128		3.9960424E+03	3		C	A
20190129		3.9953624E+03	3		C	A
20190130		3.9986441E+03	3		C	A
20190131		3.9987619E+03	3		C	A
20190201		4.0060308E+03	3		C	A
20190202		4.0082273E+03	3		C	A
20190203		3.9902582E+03	3		C	A
20190204		3.9918469E+03	3		C	A
20190205		3.9894859E+03	3		C	A
20190206		3.9908813E+03	3		C	A
20190207		3.9924736E+03	3		C	A
20190208		3.9897110E+03	3		C	A
20190209		3.9949930E+03	3		C	A
20190210		3.9992644E+03	3		C	A
20190211		4.0035509E+03	3		C	A
20190212		3.9932213E+03	3		C	A
20190213		3.9803280E+03	3		C	A
20190214		3.9761853E+03	3		C	A
20190215		3.9728202E+03	3		C	A
20190216		3.9662992E+03	3		C	A
20190217		3.9650347E+03	3		C	A
20190218		3.9766251E+03	3		C	A
20190219		3.9669317E+03	3		C	A
20190220		3.9703052E+03	3		C	A
20190221		3.9994010E+03	3		C	A
20190222		3.9979002E+03	3		C	A
20190223		4.0094520E+03	3		C	A
20190224		4.0065826E+03	3		C	A
20190225		4.0063002E+03	3		C	A
20190226		4.0022155E+03	3		C	A
20190227		3.9986621E+03	3		C	A
20190228		4.0019560E+03	3		C	A
20190301		4.0050409E+03	3		C	A
20190302		3.9984911E+03	3		C	A
20190303		3.9984942E+03	3		C	A
20190304		5.4208848E+03	3		C	A
20190305		9.9784367E+03	3		C	A
20190306		9.9682731E+03	3		C	A
20190307		9.9860744E+03	3		C	A
20190308		9.9528830E+03	3		C	A
20190309		9.9125587E+03	3		C	A
20190310		9.9180681E+03	3		C	A
20190311		9.6978241E+03	3		C	A
20190312		7.8439535E+03	3		C	A
20190313		6.3137188E+03	3		C	A
20190314		4.8896487E+03	3		C	A
20190315		3.9912653E+03	3		C	A
20190316		3.9720526E+03	3		C	A
20190317		3.9716687E+03	3		C	A
20190318		3.9867531E+03	3		C	A
20190319		4.0662997E+03	3		C	A
20190320		4.0721320E+03	3		C	A
20190321		4.0629013E+03	3		C	A
20190322		4.0660244E+03	3		C	A
20190323		4.0628244E+03	3		C	A
20190324		4.0713615E+03	3		C	A
20190325		4.0698625E+03	3		C	A
20190326		4.0686736E+03	3		C	A
20190327		4.0708937E+03	3		C	A
20190328		4.0678964E+03	3		C	A
20190329		4.0663967E+03	3		C	A
20190330		4.0732476E+03	3		C	A
20190331		4.0744458E+03	3		C	A
20190401		4.0674351E+03	3		C	A
20190402		4.0649323E+03	3		C	A
20190403		4.0701681E+03	3		C	A
20190404		4.0735426E+03	3		C	A
20190405		4.0668408E+03	3		C	A
20190406		4.1204656E+03	3		C	A
20190407		4.1170315E+03	3		C	A
20190408		4.1249510E+03	3		C	A
20190409		4.1124088E+03	3		C	A
20190410		4.1919918E+03	3		C	A
20190411		4.1603941E+03	3		C	A
20190412		4.1499481E+03	3		C	A
20190413		4.1420684E+03	3		C	A
20190414		4.1394447E+03	3		C	A
20190415		4.1262108E+03	3		C	A
