# //UNITED STATES GEOLOGICAL SURVEY       https://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     https://water.usgs.gov/data/
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2022-10-21 18:32:49 UTC
# //FILE TYPE="NWIS-I DAILY-VALUES" EDITABLE=NO
# //DATABASE DESCRIPTION="AQUARIUS Time-Series"
# //STATION AGENCY="USGS " NUMBER="12301933       " TIME_ZONE="MST" DST_FLAG=Y
# //STATION NAME="Kootenai River bl Libby Dam nr Libby MT"
# //SUBLOCATION=""
# //DD DDID="none" RoundingSpec="SIG(3,1)"
# //PARAMETER CODE="00010"
# //PARAMETER NAME="Temperature, water"
# //PARAMETER LNAME="Temperature, water"
# //PARAMETER UNITS="degC"
# //STATISTIC CODE="00003" SNAME="MEAN"
# //STATISTIC LNAME="MEAN VALUES"
# //TYPE NAME="FINAL" DESC = "EDITED AND COMPUTED DAILY VALUES"
# //TIMESERIES IDENTIFIER="Temperature, water.degC.Mean@12301933"
# //TIMESERIES DESCRIPTION=""
# //TIMESERIES LABEL="degC.Mean"
# //TIMESERIES RAW START DATE="2019-08-01T00:00:00.0000000-07:00"
# //TIMESERIES RAW END DATE=  "2022-10-22T00:00:00.0000000-07:00"
# //TIMESERIES LAST MODIFIED= "2022-10-21T01:17:51.3635420-07:00"
# //TIMESERIES PRIMARY_FLAG="Primary"
# //TIMESERIES ACCESS_LEVEL="0-Public"
# //TIMESERIES WEB_DESCRIPTION=""
# //TIMESERIES PUBLISH="true"
# //TIMESERIES TYPE="ProcessorDerived"
# //TIMESERIES UNIQUEID="57b64ab7350f478ead8bc473f9c8d662"
# //METHOD BEGIN=20190701010000 MDT END=20221022030000 MDT
# //METHOD   CODE="TWTHM01" RoundingSpec="SIG(3,1)"
# //METHOD   NAME="Temperature, water, thermistor"
# //AGING BEGIN=20190731090000 MDT END=20201021085600 MDT CODE=A
# //AGING   APPROVED=20201214121117 AZONE=MST AUSER="gstorey"
# //AGING BEGIN=20201021085600 MDT END=20211116090300 MST CODE=A
# //AGING   APPROVED=20220727111001 AZONE=MDT AUSER="lrking"
# //AGING BEGIN=20211116090300 MST END=20220829164500 MDT CODE=A
# //AGING   APPROVED=20221012104532 AZONE=MDT AUSER="creese"
# //RANGE START="2019-01-01" END="2022-10-21"
DATE	TIME	VALUE	PRECISION	QUALIFIERS	TYPE	QA
8D	6S	16N	1S	32S	1S	1S
20190801		1.4469578E+01	3		C	A
20190802		1.4281391E+01	3		C	A
20190803		1.4171432E+01	3		C	A
20190804		1.4464682E+01	3		C	A
20190805		1.4884021E+01	3		C	A
20190806		1.5270771E+01	3		C	A
20190807		1.5281255E+01	3		C	A
20190808		1.5180786E+01	3		C	A
20190809		1.4995984E+01	3		C	A
20190810		1.5164979E+01	3		C	A
20190811		1.5886401E+01	3		C	A
20190812		1.5324505E+01	3		C	A
20190813		1.4926443E+01	3		C	A
20190814		1.4395573E+01	3		C	A
20190815		1.5310458E+01	3		C	A
20190816		1.5246187E+01	3		C	A
20190817		1.5323781E+01	3		C	A
20190818		1.5346214E+01	3		C	A
20190819		1.4818141E+01	3		C	A
20190820		1.4610271E+01	3		C	A
20190821		1.5388714E+01	3		C	A
20190822		1.5537068E+01	3		C	A
20190823		1.5189979E+01	3		C	A
20190824		1.4918885E+01	3		C	A
20190825		1.4581250E+01	3		C	A
20190826		1.4888896E+01	3		C	A
20190827		1.5523604E+01	3		C	A
20190828		1.5683391E+01	3		C	A
20190829		1.5170990E+01	3		C	A
20190830		1.5019021E+01	3		C	A
20190831		1.5085109E+01	3		C	A
20190901		1.5375943E+01	3		C	A
20190902		1.5753557E+01	3		C	A
20190903		1.5695312E+01	3		C	A
20190904		1.5643818E+01	3		C	A
20190905		1.5198552E+01	3		C	A
20190906		1.5441948E+01	3		C	A
20190907		1.5623443E+01	3		C	A
20190908		1.5859849E+01	3		C	A
20190909		1.5679005E+01	3		C	A
20190910		1.5976187E+01	3		C	A
20190911		1.6227031E+01	3		C	A
20190912		1.5903813E+01	3		C	A
20190913		1.5487661E+01	3		C	A
20190914		1.4750901E+01	3		C	A
20190915		1.4874917E+01	3		C	A
20190916		1.4851406E+01	3		C	A
20190917		1.5044854E+01	3		C	A
20190918		1.4999734E+01	3		C	A
20190919		1.5037458E+01	3		C	A
20190920		1.5019276E+01	3		C	A
20190921		1.4472172E+01	3		C	A
20190922		1.4296031E+01	3		C	A
20190923		1.4116510E+01	3		C	A
20190924		1.3260000E+01	3		C	A
20190925		1.2178839E+01	3		C	A
20190926		1.1865609E+01	3		C	A
20190927		1.1829552E+01	3		C	A
20190928		1.2452078E+01	3		C	A
20190929		1.2416500E+01	3		C	A
20190930		1.1913995E+01	3		C	A
20191001		1.2103419E+01	3		C	A
20191002		1.1572728E+01	3		C	A
