# //UNITED STATES GEOLOGICAL SURVEY       https://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     https://water.usgs.gov/data/
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2023-03-24 20:48:38 UTC
# //FILE TYPE="NWIS-I DAILY-VALUES" EDITABLE=NO
# //DATABASE DESCRIPTION="AQUARIUS Time-Series"
# //STATION AGENCY="USGS " NUMBER="14178000       " TIME_ZONE="PST" DST_FLAG=Y
# //STATION NAME="NO SANTIAM R BLW BOULDER CRK, NR DETROIT, OR"
# //SUBLOCATION=""
# //DD DDID="   1" RoundingSpec="SIG(3,1)"
# //PARAMETER CODE="00010"
# //PARAMETER NAME="Temperature, water"
# //PARAMETER LNAME="Temperature, water"
# //PARAMETER UNITS="degC"
# //STATISTIC CODE="00003" SNAME="MEAN"
# //STATISTIC LNAME="MEAN VALUES"
# //TYPE NAME="FINAL" DESC = "EDITED AND COMPUTED DAILY VALUES"
# //TIMESERIES IDENTIFIER="Temperature, water.degC.Mean@14178000"
# //TIMESERIES DESCRIPTION="DD001,00010,degC,00003"
# //TIMESERIES LABEL="degC.Mean"
# //TIMESERIES RAW START DATE="1998-10-01T00:00:00.0000000-08:00"
# //TIMESERIES RAW END DATE=  "2023-03-25T00:00:00.0000000-08:00"
# //TIMESERIES LAST MODIFIED= "2023-03-24T08:31:15.0645140-08:00"
# //TIMESERIES PRIMARY_FLAG="Primary"
# //TIMESERIES ACCESS_LEVEL="0-Public"
# //TIMESERIES WEB_DESCRIPTION=""
# //TIMESERIES PUBLISH="true"
# //TIMESERIES TYPE="ProcessorDerived"
# //TIMESERIES UNIQUEID="598b3ae32b8c4adc8a72ffbd6817c3f6"
# //METHOD BEGIN=20200101020000 PST END=20200106171500 PST
# //METHOD   CODE="TWTHM01" RoundingSpec="SIG(3,1)"
# //METHOD   NAME="Temperature, water, thermistor"
# //METHOD BEGIN=20200107141500 PST END=20200123101500 PST
# //METHOD   CODE="TWTHM01" RoundingSpec="SIG(3,1)"
# //METHOD   NAME="Temperature, water, thermistor"
# //METHOD BEGIN=20200123203000 PST END=20200305211500 PST
# //METHOD   CODE="TWTHM01" RoundingSpec="SIG(3,1)"
# //METHOD   NAME="Temperature, water, thermistor"
# //METHOD BEGIN=20200306013000 PST END=20230101030000 PST
# //METHOD   CODE="TWTHM01" RoundingSpec="SIG(3,1)"
# //METHOD   NAME="Temperature, water, thermistor"
# //AGING BEGIN=20191030065900 PDT END=20200417142100 PDT CODE=A
# //AGING   APPROVED=20200501083609 AZONE=PDT AUSER="jflinn"
# //AGING BEGIN=20200417142100 PDT END=20201009103900 PDT CODE=A
# //AGING   APPROVED=20210322113031 AZONE=PDT AUSER="jflinn"
# //AGING BEGIN=20201009103900 PDT END=20211021093000 PDT CODE=A
# //AGING   APPROVED=20220413133550 AZONE=PDT AUSER="jflinn"
# //AGING BEGIN=20211021093000 PDT END=20221115134400 PST CODE=R
# //AGING   ANALYZED=20230324093114 RZONE=PDT RUSER="selsworth"
# //RANGE START="2020-01-01" END="2022-12-31"
DATE	TIME	VALUE	PRECISION	QUALIFIERS	TYPE	QA
8D	6S	16N	1S	32S	1S	1S
20200101		5.3348958E+00	2		C	A
20200102		4.9651042E+00	2		C	A
20200103		4.5596875E+00	2		C	A
20200104		4.2758854E+00	2		C	A
20200105		3.8516667E+00	2		C	A
20200106		3.8390625E+00	2		C	A
20200107		4.5607812E+00	2		C	A
20200108		4.2767187E+00	2		C	A
20200109		3.8265625E+00	2		C	A
20200110		3.8450521E+00	2		C	A
20200111		3.2986979E+00	2		C	A
20200112		3.1068229E+00	2		C	A
20200113		2.8648437E+00	2		C	A
20200114		2.5568229E+00	2		C	A
20200115		2.5107292E+00	2		C	A
20200116		3.1217187E+00	2		C	A
20200117		2.9420312E+00	2		C	A
20200118		3.3455729E+00	2		C	A
20200119		3.5197396E+00	2		C	A
20200120		3.7618750E+00	2		C	A
20200121		4.0131250E+00	2		C	A
20200122		4.0553646E+00	2		C	A
20200123		4.3163715E+00	2		C	A
20200124		4.4526042E+00	2		C	A
20200125		4.5810417E+00	2		C	A
20200126		4.6464063E+00	2		C	A
20200127		4.5621354E+00	2		C	A
20200128		4.5591146E+00	2		C	A
20200129		4.6736458E+00	2		C	A
20200130		4.6637500E+00	2		C	A
20200131		5.0369792E+00	2		C	A
20200201		4.8319271E+00	2		C	A
20200202		4.1366146E+00	2		C	A
20200203		3.6726563E+00	2		C	A
20200204		3.3679167E+00	2		C	A
20200205		3.7311458E+00	2		C	A
20200206		4.4093750E+00	2		C	A
20200207		4.7737500E+00	2		C	A
20200208		4.2497396E+00	2		C	A
20200209		4.0827604E+00	2		C	A
20200210		4.2494792E+00	2		C	A
20200211		4.1826562E+00	2		C	A
20200212		4.3566146E+00	2		C	A
20200213		3.8607813E+00	2		C	A
20200214		4.3751042E+00	2		C	A
20200215		4.3588542E+00	2		C	A
20200216		4.0385417E+00	2		C	A
20200217		4.1398437E+00	2		C	A
20200218		3.3212500E+00	2		C	A
20200219		3.1905729E+00	2		C	A
20200220		3.4830208E+00	2		C	A
20200221		3.6360417E+00	2		C	A
20200222		3.8525521E+00	2		C	A
20200223		4.0039062E+00	2		C	A
20200224		4.0042708E+00	2		C	A
20200225		3.8379687E+00	2		C	A
20200226		4.6245833E+00	2		C	A
20200227		4.1430208E+00	2		C	A
20200228		4.3423437E+00	2		C	A
20200229		4.2521875E+00	2		C	A
20200301		4.0177083E+00	2		C	A
20200302		4.2638021E+00	2		C	A
20200303		5.0498958E+00	2		C	A
20200304		5.2009375E+00	2		C	A
20200305		4.6564757E+00	2		C	A
20200306		4.7612674E+00	2		C	A
20200307		4.8846354E+00	2		C	A
20200308		4.5510417E+00	2		C	A
20200309		4.7402778E+00	2		C	A
20200310		4.2709375E+00	2		C	A
20200311		4.5759896E+00	2		C	A
20200312		4.2120312E+00	2		C	A
20200313		3.4805729E+00	2		C	A
20200314		3.7149479E+00	2		C	A
20200315		3.2197396E+00	2		C	A
20200316		3.5915104E+00	2		C	A
20200317		4.0544271E+00	2		C	A
20200318		4.6741667E+00	2		C	A
20200319		4.6034896E+00	2		C	A
20200320		5.0061458E+00	2		C	A
20200321		4.9431771E+00	2		C	A
20200322		4.8025521E+00	2		C	A
20200323		4.8880729E+00	2		C	A
20200324		4.6002083E+00	2		C	A
20200325		4.3519792E+00	2		C	A
20200326		4.3473958E+00	2		C	A
20200327		4.5932292E+00	2		C	A
20200328		5.3579688E+00	2		C	A
20200329		5.4595313E+00	2		C	A
20200330		4.2851042E+00	2		C	A
20200331		3.5050521E+00	2		C	A
20200401		4.1493750E+00	2		C	A
20200402		4.4113021E+00	2		C	A
20200403		4.4085417E+00	2		C	A
20200404		4.4587500E+00	2		C	A
20200405		5.4455729E+00	2		C	A
20200406		5.4270833E+00	2		C	A
20200407		5.9249479E+00	2		C	A
20200408		5.7629687E+00	2		C	A
20200409		6.0278125E+00	2		C	A
20200410		6.2904167E+00	2		C	A
20200411		6.5352604E+00	2		C	A
20200412		5.4732813E+00	2		C	A
20200413		5.2798958E+00	2		C	A
20200414		5.6654167E+00	2		C	A
20200415		5.9392188E+00	2		C	A
20200416		6.0841146E+00	2		C	A
20200417		5.9164583E+00	2		C	A
20200418		5.8031250E+00	2		C	A
20200419		6.7197917E+00	2		C	A
20200420		6.7250000E+00	2		C	A
20200421		6.9324653E+00	2		C	A
