# //UNITED STATES GEOLOGICAL SURVEY       https://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     https://water.usgs.gov/data/
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2023-03-24 20:48:06 UTC
# //FILE TYPE="NWIS-I UNIT-VALUES" EDITABLE=NO
# //DATABASE DESCRIPTION="AQUARIUS Time-Series"
# //STATION AGENCY="USGS " NUMBER="14178000       " TIME_ZONE="PST" DST_FLAG=Y
# //STATION NAME="NO SANTIAM R BLW BOULDER CRK, NR DETROIT, OR"
# //SUBLOCATION=""
# //DD DDID="   1" RoundingSpec="SIG(3,1)"
# //PARAMETER CODE="00010"
# //PARAMETER NAME="Temperature, water"
# //PARAMETER LNAME="Temperature, water"
# //PARAMETER UNITS="degC"
# //TYPE CODE=C NAME=COMPUTED
# //TIMESERIES IDENTIFIER="Temperature, water.degC@14178000"
# //TIMESERIES DESCRIPTION="DD001,00010,degC,RAD"
# //TIMESERIES LABEL="degC"
# //TIMESERIES RAW START DATE="1986-10-01T00:00:00.0000000-08:00"
# //TIMESERIES RAW END DATE=  "2023-03-24T12:40:00.0000000-08:00"
# //TIMESERIES LAST MODIFIED= "2023-03-24T12:43:45.2179150-08:00"
# //TIMESERIES PRIMARY_FLAG="Primary"
# //TIMESERIES ACCESS_LEVEL="0-Public"
# //TIMESERIES WEB_DESCRIPTION=""
# //TIMESERIES PUBLISH="true"
# //TIMESERIES TYPE="ProcessorDerived"
# //TIMESERIES UNIQUEID="f77f6ce69b5a42f8b8e401ef1712190a"
# //METHOD BEGIN=20200101000000 PST END=20200106171500 PST
# //METHOD   CODE="TWTHM01" RoundingSpec="SIG(3,1)"
# //METHOD   NAME="Temperature, water, thermistor"
# //METHOD BEGIN=20200107141500 PST END=20200123101500 PST
# //METHOD   CODE="TWTHM01" RoundingSpec="SIG(3,1)"
# //METHOD   NAME="Temperature, water, thermistor"
# //METHOD BEGIN=20200123203000 PST END=20200305211500 PST
# //METHOD   CODE="TWTHM01" RoundingSpec="SIG(3,1)"
# //METHOD   NAME="Temperature, water, thermistor"
# //METHOD BEGIN=20200306013000 PST END=20230101000000 PST
# //METHOD   CODE="TWTHM01" RoundingSpec="SIG(3,1)"
# //METHOD   NAME="Temperature, water, thermistor"
# //AGING BEGIN=20191030065900 PDT END=20200417142100 PDT CODE=A
# //AGING   APPROVED=20200501083609 AZONE=PDT AUSER="jflinn"
# //AGING BEGIN=20200417142100 PDT END=20201009103900 PDT CODE=A
# //AGING   APPROVED=20210322113031 AZONE=PDT AUSER="jflinn"
# //AGING BEGIN=20201009103900 PDT END=20211021093000 PDT CODE=A
# //AGING   APPROVED=20220413133550 AZONE=PDT AUSER="jflinn"
# //AGING BEGIN=20211021093000 PDT END=20221115134400 PST CODE=R
# //AGING   ANALYZED=20230324093114 RZONE=PDT RUSER="selsworth"
# //RANGE START="2020-01-01T00:00:00-08:00" END="2023-01-01T00:00:00-08:00"
DATE	TIME	TZCD	VALUE	PRECISION	QUALIFIERS	QA
8D	6S	6S	16N	1S	32S	1S
20200101	000000	PST	5.1300000E+00	2		A
20200101	010000	PST	5.1400000E+00	2		A
20200101	020000	PST	5.1400000E+00	2		A
20200101	030000	PST	5.1500000E+00	2		A
20200101	040000	PST	5.1600000E+00	2		A
20200101	050000	PST	5.1700000E+00	2		A
20200101	060000	PST	5.2000000E+00	2		A
20200101	070000	PST	5.2300000E+00	2		A
20200101	080000	PST	5.2400000E+00	2		A
20200101	090000	PST	5.2700000E+00	2		A
20200101	100000	PST	5.3400000E+00	2		A
20200101	110000	PST	5.4300000E+00	2		A
20200101	120000	PST	5.6000000E+00	2		A
20200101	130000	PST	5.6300000E+00	2		A
20200101	140000	PST	5.6000000E+00	2		A
20200101	150000	PST	5.6000000E+00	2		A
20200101	160000	PST	5.5600000E+00	2		A
20200101	170000	PST	5.5100000E+00	2		A
20200101	180000	PST	5.4600000E+00	2		A
20200101	190000	PST	5.4200000E+00	2		A
20200101	200000	PST	5.3700000E+00	2		A
20200101	210000	PST	5.3000000E+00	2		A
20200101	220000	PST	5.2300000E+00	2		A
20200101	230000	PST	5.1700000E+00	2		A
20200102	000000	PST	5.1100000E+00	2		A
20200102	010000	PST	5.0500000E+00	2		A
20200102	020000	PST	4.9800000E+00	2		A
20200102	030000	PST	4.9400000E+00	2		A
20200102	040000	PST	4.9000000E+00	2		A
20200102	050000	PST	4.8700000E+00	2		A
20200102	060000	PST	4.8400000E+00	2		A
20200102	070000	PST	4.8100000E+00	2		A
20200102	080000	PST	4.8000000E+00	2		A
20200102	090000	PST	4.8000000E+00	2		A
20200102	100000	PST	4.8400000E+00	2		A
20200102	110000	PST	4.8800000E+00	2		A
20200102	120000	PST	4.9400000E+00	2		A
20200102	130000	PST	4.9700000E+00	2		A
20200102	140000	PST	5.0000000E+00	2		A
20200102	150000	PST	5.0300000E+00	2		A
20200102	160000	PST	5.0700000E+00	2		A
20200102	170000	PST	5.0900000E+00	2		A
20200102	180000	PST	5.0900000E+00	2		A
20200102	190000	PST	5.0900000E+00	2		A
20200102	200000	PST	5.0900000E+00	2		A
20200102	210000	PST	5.0700000E+00	2		A
20200102	220000	PST	5.0300000E+00	2		A
20200102	230000	PST	4.9700000E+00	2		A
20200103	000000	PST	4.9100000E+00	2		A
20200103	010000	PST	4.8500000E+00	2		A
20200103	020000	PST	4.7900000E+00	2		A
20200103	030000	PST	4.7300000E+00	2		A
20200103	040000	PST	4.6400000E+00	2		A
20200103	050000	PST	4.5400000E+00	2		A
20200103	060000	PST	4.4400000E+00	2		A
20200103	070000	PST	4.3300000E+00	2		A
20200103	080000	PST	4.2400000E+00	2		A
20200103	090000	PST	4.1700000E+00	2		A
20200103	100000	PST	4.1500000E+00	2		A
20200103	110000	PST	4.2100000E+00	2		A
20200103	120000	PST	4.2900000E+00	2		A
20200103	130000	PST	4.4000000E+00	2		A
20200103	140000	PST	4.4900000E+00	2		A
20200103	150000	PST	4.5800000E+00	2		A
20200103	160000	PST	4.6500000E+00	2		A
20200103	170000	PST	4.7000000E+00	2		A
