DataType,ReleaseRates,,
ElevUnits,feet,,
LineWidthUnits,meters,,
InputFlowUnits,cms,,
NumOutlets,3,,
Algorithm,LibbyDam,LibbyDam,W2orig
OutletName,Wet Well 1,Wet Well 2,Spillway
CenterlineElev,2222,2222,2405
OutletType,Line,Line,Line
LineWidth,57.6,57.6,29.26
TopLayerLimit,2,2,2
BottomLayerLimit,118,118,118
FlowUnits,cfs/ft,,
FlowMax,300,,
FlowMajor,50,,
DateTime,Wet Well 1,Wet Well 2,Spillway
1/1/2021,180.7,0,0
1/2/2021,113.8,0,0
1/3/2021,113.8,0,0
1/4/2021,113.3,0,0
1/5/2021,113.3,0,0
1/6/2021,113.3,0,0
1/7/2021,113.3,0,0
1/8/2021,113.3,0,0
1/9/2021,113.3,0,0
1/10/2021,113.3,0,0
1/11/2021,113.3,0,0
1/12/2021,113.3,0,0
1/13/2021,113.3,0,0
1/14/2021,113.3,0,0
1/15/2021,113.3,0,0
1/16/2021,113.3,0,0
1/17/2021,113.3,0,0
1/18/2021,113.3,0,0
1/19/2021,113.3,0,0
1/20/2021,113.3,0,0
1/21/2021,113.3,0,0
1/22/2021,113.3,0,0
1/23/2021,113.3,0,0
1/24/2021,113.3,0,0
1/25/2021,147.5,0,0
1/26/2021,368.7,0,0
1/27/2021,375.8,0,0
1/28/2021,263.1,0,0
1/29/2021,180.7,0,0
1/30/2021,113.8,0,0
1/31/2021,113.3,0,0
2/1/2021,113.3,0,0
2/2/2021,113.3,0,0
2/3/2021,113.3,0,0
2/4/2021,113.3,0,0
2/5/2021,113.3,0,0
2/6/2021,113.3,0,0
2/7/2021,113.3,0,0
2/8/2021,113.3,0,0
2/9/2021,113.3,0,0
2/10/2021,113.3,0,0
2/11/2021,113.3,0,0
2/12/2021,139.3,0,0
2/13/2021,226.5,0,0
2/14/2021,226.5,0,0
2/15/2021,226.5,0,0
2/16/2021,210.7,0,0
2/17/2021,168.2,0,0
2/18/2021,141.6,0,0
2/19/2021,141.6,0,0
2/20/2021,141.6,0,0
2/21/2021,141.6,0,0
2/22/2021,141.6,0,0
2/23/2021,130.3,0,0
2/24/2021,113.3,0,0
2/25/2021,113.3,0,0
2/26/2021,113.3,0,0
2/27/2021,113.3,0,0
2/28/2021,113.3,0,0
3/1/2021,113.3,0,0
3/2/2021,113.3,0,0
3/3/2021,113.3,0,0
3/4/2021,113.3,0,0
3/5/2021,113.3,0,0
3/6/2021,113.3,0,0
3/7/2021,113.3,0,0
3/8/2021,113.3,0,0
3/9/2021,113.3,0,0
3/10/2021,113.3,0,0
3/11/2021,113.3,0,0
3/12/2021,113.3,0,0
3/13/2021,113.3,0,0
3/14/2021,113.3,0,0
3/15/2021,113.3,0,0
3/16/2021,113.3,0,0
3/17/2021,113.3,0,0
3/18/2021,113.3,0,0
3/19/2021,113.3,0,0
3/20/2021,113.3,0,0
3/21/2021,113.3,0,0
3/22/2021,113.3,0,0
3/23/2021,113.3,0,0
3/24/2021,113.3,0,0
3/25/2021,113.3,0,0
3/26/2021,113.3,0,0
3/27/2021,113.3,0,0
3/28/2021,113.3,0,0
3/29/2021,113.3,0,0
3/30/2021,113.3,0,0
3/31/2021,113.3,0,0
4/1/2021,113.3,0,0
4/2/2021,113.3,0,0
4/3/2021,113.3,0,0
4/4/2021,113.3,0,0
4/5/2021,113.3,0,0
4/6/2021,113.3,0,0
4/7/2021,113.3,0,0
4/8/2021,113.3,0,0
4/9/2021,113.3,0,0
4/10/2021,113.3,0,0
4/11/2021,113.3,0,0
4/12/2021,113.3,0,0
4/13/2021,113.3,0,0
4/14/2021,113.3,0,0
4/15/2021,113.3,0,0
4/16/2021,113.3,0,0
4/17/2021,113.3,0,0
4/18/2021,113.3,0,0
4/19/2021,113.3,0,0
4/20/2021,113.3,0,0
4/21/2021,113.3,0,0
4/22/2021,113.3,0,0
4/23/2021,113.3,0,0
4/24/2021,113.3,0,0
4/25/2021,113.3,0,0
4/26/2021,113.3,0,0
4/27/2021,113.3,0,0
4/28/2021,113.3,0,0
4/29/2021,113.3,0,0
4/30/2021,113.3,0,0
5/1/2021,100.4,123.3,0
5/2/2021,168.7,128.6,0
5/3/2021,181.6,129.9,0
5/4/2021,181.5,130,0
5/5/2021,181.7,129.8,0
5/6/2021,127.9,128.1,0
5/7/2021,127.2,127.7,0
5/8/2021,127.1,127.8,0
5/9/2021,127,127.9,0
5/10/2021,126.8,128,0
5/11/2021,126.6,128.3,0
5/12/2021,126.8,128,0
5/13/2021,159.2,125.1,0
5/14/2021,564.4,142.4,0
5/15/2021,567.5,140.4,0
5/16/2021,566.1,141.2,0
5/17/2021,566.9,141,0
5/18/2021,567,140.9,0
5/19/2021,568.6,139.3,0
5/20/2021,568.6,139.3,0
5/21/2021,568,139.9,0
5/22/2021,568.8,139.1,0
5/23/2021,570.6,137.3,0
5/24/2021,567.2,140.8,0
5/25/2021,476.7,126.7,0
5/26/2021,441.2,125.2,0
5/27/2021,442.1,124.2,0
5/28/2021,441.3,125.1,0
5/29/2021,442.3,124,0
5/30/2021,442.9,123.4,0
5/31/2021,307.5,118.9,0
6/1/2021,248.1,121.2,0
6/2/2021,251.5,61.1,0
6/3/2021,256,0,0
6/4/2021,254.9,0,0
6/5/2021,254.9,0,0
6/6/2021,254.9,0,0
6/7/2021,254.9,0,0
6/8/2021,254.9,0,0
6/9/2021,254.9,0,0
6/10/2021,254.9,0,0
6/11/2021,254.9,0,0
6/12/2021,254.9,0,0
6/13/2021,254.9,0,0
6/14/2021,254.9,0,0
6/15/2021,254.9,0,0
6/16/2021,254.9,0,0
6/17/2021,254.9,0,0
6/18/2021,254.9,0,0
6/19/2021,254.9,0,0
6/20/2021,254.9,0,0
6/21/2021,254.9,0,0
