$. Updated to .csv format using R script. 2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG:1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,
DLX,0,389.6,455.3,596.9,489.4,315.1,323.1,402.1,434.5,532.5,364.5,413.9,503.6,634.6,520,484.2,426,529.7,455,638,507.7,454.2,468.1,378.6,488.5,292.1,377.3,321.4,313,257.7,255.6,252.3,381.5,305.4,0,0,359.1,276.1,496,418.2,368.6,550,400,401,394.7,405.3,604.7,0,0,285.5,295.3,280.7,363.5,327.4,310.9,282,327.7,0,0,390.2,246,284.5,313.8,295.3,229.8,0,
ELWS,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,447.142,
PHIO,0,2.46,2.32,2.17,2.49,2.17,1.85,1.53,0.96,0.76,0.68,0.56,1.04,1.13,0.96,0.78,0.64,0.62,0.75,1.35,1.09,1.3,1.85,2,2.2,2.5,2.6,2.67,2.6,2.62,2.56,2.6,2.96,2.25,0,0,0.81,0.67,0.74,1.12,0.3,0.5,0.73,0.62,0.78,0.96,0.88,0,0,1.71,2.42,2.23,2.75,2.4,2.35,2.43,2.41,0,0,3.86,3.72,3.86,3.96,3.99,3.94,0,
FRICT,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
LAYERH,,br1      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br2      ,,,,,,,,,,,,,br3      ,,,,,,,,,,br4      ,,,,,,,K
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,94.4,171.1,324.7,286,214.9,294.4,386.3,411.8,584.9,702,649.8,726.6,666.1,1722.6,1473.3,1175.4,1108.9,962.1,930.8,981.2,842,562.2,530.9,656.9,692.7,660.9,704.2,578.6,446,405.8,427,533.7,533,0,0,137.9,97.8,196.3,278.8,356.9,826.7,668,838.8,855.8,784,1048.6,0,0,58.9,182.5,365,527,297.6,311.5,366.4,451.9,0,0,101.4,168.2,214.5,375.7,445.7,298,0,2
1,0,79.9,163.2,315.5,279.2,210.2,287.3,379.6,406.6,583.7,700.6,642.2,722.4,656.2,1707,1459.8,1167.2,1099.9,957.4,925.2,980.6,838.4,558.6,527.6,653.4,687.7,660.1,698.2,573.3,440.7,402.2,424,525.9,528,0,0,127.1,93.2,174.3,269.6,345.2,781.4,659.9,821.3,832.9,758.4,1031.8,0,0,53,176.2,358,520,293.4,305.8,361.3,446.3,0,0,97.7,164.6,210.8,371.4,441.2,294.5,0,3
1,0,67.5,155.8,306.7,272.9,205.6,280.6,373.1,401.6,582.6,698.9,631.2,720,647.4,1692.3,1446.8,1159.3,1091.6,952.4,919.7,979.7,834.6,554.6,524,649.6,682.8,659,692.5,568.2,435.6,398.6,420.8,518.7,523,0,0,116.6,88.4,161.4,260.5,334,743.3,650.9,808.4,815.4,735.6,1017.3,0,0,46.7,169.1,351,514,289.1,300.4,356.2,440.7,0,0,93.9,160.8,207.1,367,429.1,290.9,0,4
1,0,57.8,148.5,297.1,266.8,200.8,274.3,366.8,396.8,581.4,696.5,614.6,710.5,641.4,1678,1434.3,1151.6,1083.6,947.1,914.2,978.7,830.8,550.9,520.5,645.9,678,657.5,687.1,563.1,430.8,394.7,417.5,510.1,517,0,0,106.3,83.7,157.2,251.6,323.1,710.7,641.7,796.8,799.3,716,1003.5,0,0,40.9,160.2,344,508.4,285.1,295.4,351.2,435.1,0,0,90,157.1,203.3,362.3,420.3,287.1,0,5
