$ T_2015_14207200 TUALATIN RIVER AT OSWEGO DAM, NEAR WEST LINN, OR downloaded from NWIS via dataRetrieval package in R.
Data is hourly as Julian day from Jan 1.  Missing data filled by linear interpolation where gap <3, then using closest datetime.
JDAY, T.C
1,5.8
1.04,5.7
1.08,5.7
1.12,5.6
1.17,5.5
1.21,5.5
1.25,5.4
1.29,5.4
1.33,5.3
1.38,5.2
1.42,5.2
1.46,5.1
1.5,5.1
1.54,5
1.58,5
1.62,5
1.67,4.9
1.71,4.8
1.75,4.8
1.79,4.7
1.83,4.7
1.88,4.6
1.92,4.6
1.96,4.5
2,4.5
2.04,4.4
2.08,4.4
2.12,4.4
2.17,4.3
2.21,4.3
2.25,4.3
2.29,4.2
2.33,4.2
2.38,4.2
2.42,4.1
2.46,4.1
2.5,4.1
2.54,4.1
2.58,4.1
2.62,4
2.67,4
2.71,4
2.75,4
2.79,4
2.83,4
2.88,4
2.92,4
2.96,4
3,4
3.04,4
3.08,4
3.12,4
3.17,4.1
3.21,4.1
3.25,4.1
3.29,4.1
3.33,4.1
3.38,4.1
3.42,4.1
3.46,4.1
3.5,4.2
3.54,4.2
3.58,4.2
3.62,4.2
3.67,4.2
3.71,4.3
3.75,4.3
3.79,4.3
3.83,4.4
3.88,4.4
3.92,4.4
3.96,4.3
4,4.4
4.04,4.4
4.08,4.4
4.12,4.4
4.17,4.4
4.21,4.5
4.25,4.5
4.29,4.6
4.33,4.6
4.38,4.6
4.42,4.6
4.46,4.6
4.5,4.7
4.54,4.7
4.58,4.7
4.62,4.8
4.67,4.8
4.71,4.9
4.75,4.9
4.79,5
4.83,5.1
4.88,5.1
4.92,5.2
4.96,5.2
5,5.2
5.04,5.2
5.08,5.2
5.12,5.2
5.17,5.3
5.21,5.3
5.25,5.4
5.29,5.4
5.33,5.5
5.38,5.5
5.42,5.6
5.46,5.6
5.5,5.7
5.54,5.7
5.58,5.8
5.62,5.8
5.67,5.9
5.71,6
5.75,6.1
5.79,6.1
5.83,6.2
5.88,6.2
5.92,6.2
5.96,6.2
6,6.2
6.04,6.2
6.08,6.2
6.12,6.2
6.17,6.2
6.21,6.3
6.25,6.3
6.29,6.3
6.33,6.4
6.38,6.4
6.42,6.4
6.46,6.5
6.5,6.5
6.54,6.6
6.58,6.7
6.62,6.7
6.67,6.8
6.71,6.8
6.75,6.9
6.79,6.9
6.83,7
6.88,7
6.92,7
6.96,7
7,7
7.04,7
7.08,7
7.12,7
7.17,7
7.21,7
7.25,7
7.29,7
7.33,7
7.38,7.1
7.42,7.1
7.46,7.1
7.5,7.1
7.54,7.1
7.58,7.2
7.62,7.2
7.67,7.2
7.71,7.3
7.75,7.3
7.79,7.4
7.83,7.4
7.88,7.4
7.92,7.4
7.96,7.4
8,7.4
8.04,7.4
8.08,7.4
8.12,7.4
8.17,7.4
8.21,7.4
8.25,7.4
8.29,7.4
8.33,7.4
8.38,7.4
8.42,7.4
8.46,7.4
8.5,7.4
8.54,7.4
8.58,7.4
8.62,7.4
8.67,7.5
8.71,7.5
8.75,7.6
8.79,7.6
8.83,7.7
8.88,7.7
8.92,7.6
8.96,7.6
9,7.6
9.04,7.6
9.08,7.6
9.12,7.5
9.17,7.5
9.21,7.5
9.25,7.5
9.29,7.5
9.33,7.5
