 JDAY,DISTANCE(m),TEMPERATURE(C)
   80.0000,    125.10,   8.00,
   80.0000,    250.20,   8.00,
   80.0000,    500.40,   8.00,
   80.0000,    750.60,   8.00,
   80.0000,   1000.80,   8.00,
   80.0000,   1251.00,   8.00,
   80.0000,   1501.20,   8.00,
   80.0000,   1751.40,   8.00,
   80.0000,   2001.60,   8.00,
   80.0000,   2251.80,   8.00,
   80.0000,   2502.00,   8.00,
   80.0000,   2752.20,   8.00,
   80.0000,   3002.40,   8.00,
   80.0000,   3252.60,   8.00,
   80.0000,   3502.80,   8.00,
   80.0000,   3753.00,   8.00,
   80.0000,   4003.20,   8.00,
   80.0000,   4253.40,   8.00,
   80.0000,   4503.60,   8.00,
   80.0000,   4753.80,   8.00,
   80.0000,   5004.00,   8.00,
   80.0000,   5254.20,   8.00,
   80.0000,   5504.40,   8.00,
   80.0000,   5754.60,   8.00,
   80.0000,   6004.80,   8.00,
   80.0000,   6255.00,   8.00,
   80.0000,   6505.20,   8.00,
   80.0000,   6755.40,   8.00,
   80.0000,   7005.60,   8.00,
   80.0000,   7255.80,   8.00,
   80.0000,   7506.00,   8.00,
   80.0000,   7756.20,   8.00,
   80.0000,   8006.40,   8.00,
   80.0000,   8256.60,   8.00,
   80.0000,   8506.80,   8.00,
   80.0000,   8757.00,   8.00,
   80.0000,   9007.20,   8.00,
   80.0000,   9257.40,   8.00,
   80.0000,   9507.60,   8.00,
   80.0000,   9757.80,   8.00,
   80.0000,  10008.00,   8.00,
   80.0000,  10258.20,   8.00,
   80.0000,  10508.40,   8.00,
   80.0000,  10758.60,   8.00,
   80.0000,  11008.80,   8.00,
   80.0000,  11259.00,   8.00,
   80.0000,  11509.20,   8.00,
   80.0000,  11759.40,   8.00,
   80.0000,  12009.60,   8.00,
   80.0000,  12259.80,   8.00,
   80.0000,  12510.00,   8.00,
   80.0000,  12760.20,   8.00,
   80.0000,  13010.40,   8.00,
   80.0000,  13260.60,   8.00,
   80.0000,  13510.80,   8.00,
   80.0000,  13761.00,   8.00,
   80.0000,  14011.20,   8.00,
   80.0000,  14261.40,   8.00,
   80.0000,  14511.60,   8.00,
   80.0000,  14761.80,   8.00,
   80.0000,  15012.00,   8.00,
   80.0000,  15262.20,   8.00,
   80.0000,  15512.40,   8.00,
   80.0000,  15762.60,   8.00,
   80.0000,  16012.80,   8.00,
   80.0000,  16263.00,   8.00,
   80.0000,  16513.20,   8.00,
   80.0000,  16763.40,   8.00,
   80.0000,  17013.60,   8.00,
   80.0000,  17263.80,   8.00,
   80.0000,  17514.00,   8.00,
   80.0000,  17764.20,   8.00,
   80.0000,  18014.40,   8.00,
   80.0000,  18264.60,   8.00,
   80.0000,  18514.80,   8.00,
