$Flow file for segment 396
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    80.000,  336.445,          336.445,
    80.050,  286.365,          286.365,
    80.100,  325.043,          325.043,
    80.150,  314.328,          314.328,
    80.200,  310.458,          310.458,
    80.250,  307.048,          307.048,
    80.300,  301.188,          301.188,
    80.350,  300.221,          300.221,
    80.400,  359.263,          359.263,
    80.450,  521.809,          521.809,
    80.500,  762.631,          762.631,
    80.550, 1156.489,         1156.489,
    80.600, 1638.944,         1638.944,
    80.650, 2177.474,         2177.474,
    80.700, 2628.135,         2628.135,
    80.750, 2933.056,         2933.056,
    80.800, 3117.602,         3117.602,
    80.850, 3193.292,         3193.292,
    80.900, 3189.234,         3189.234,
    80.950, 3118.001,         3118.001,
    81.000, 2994.008,         2994.008,
    81.050, 2852.941,         2852.941,
    81.100, 2683.413,         2683.413,
    81.150, 2494.506,         2494.506,
    81.200, 2299.826,         2299.826,
    81.250, 2114.513,         2114.513,
    81.300, 1948.494,         1948.494,
    81.350, 1788.089,         1788.089,
    81.400, 1635.292,         1635.292,
    81.450, 1492.919,         1492.919,
    81.500, 1366.469,         1366.469,
    81.550, 1240.160,         1240.160,
    81.600, 1140.023,         1140.023,
    81.650, 1034.348,         1034.348,
    81.700,  933.306,          933.306,
    81.750,  842.516,          842.516,
    81.800,  761.619,          761.619,
    81.850,  694.100,          694.100,
    81.900,  636.700,          636.700,
    81.950,  592.199,          592.199,
    82.000,  559.087,          559.087,
    82.050,  534.035,          534.035,
    82.100,  516.069,          516.069,
    82.150,  503.141,          503.141,
    82.200,  495.138,          495.138,
    82.250,  491.984,          491.984,
    82.300,  493.478,          493.478,
    82.350,  497.572,          497.572,
    82.400,  503.148,          503.148,
    82.450,  508.828,          508.828,
    82.500,  518.157,          518.157,
    82.550,  528.640,          528.640,
    82.600,  540.081,          540.081,
    82.650,  551.900,          551.900,
    82.700,  562.922,          562.922,
    82.750,  574.309,          574.309,
    82.800,  585.435,          585.435,
    82.850,  595.076,          595.076,
    82.900,  605.836,          605.836,
    82.950,  618.144,          618.144,
    83.000,  630.294,          630.294,
    83.050,  641.605,          641.605,
    83.100,  652.381,          652.381,
    83.150,  662.894,          662.894,
    83.200,  673.270,          673.270,
    83.250,  682.758,          682.758,
    83.300,  690.923,          690.923,
    83.350,  701.314,          701.314,
    83.400,  711.370,          711.370,
    83.450,  721.382,          721.382,
    83.500,  731.296,          731.296,
    83.550,  740.221,          740.221,
    83.600,  749.958,          749.958,
    83.650,  759.928,          759.928,
    83.700,  768.246,          768.246,
    83.750,  776.351,          776.351,
    83.800,  785.341,          785.341,
    83.850,  795.226,          795.226,
    83.900,  806.534,          806.534,
    83.950,  817.303,          817.303,
    84.000,  827.790,          827.790,
    84.050,  838.040,          838.040,
    84.100,  848.404,          848.404,
    84.150,  857.118,          857.118,
    84.200,  867.029,          867.029,
    84.250,  876.488,          876.488,
    84.300,  884.492,          884.492,
    84.350,  892.124,          892.124,
    84.400,  898.898,          898.898,
    84.450,  904.322,          904.322,
    84.500,  909.369,          909.369,
    84.550,  913.009,          913.009,
    84.600,  919.016,          919.016,
    84.650,  923.352,          923.352,
    84.700,  927.085,          927.085,
    84.750,  929.676,          929.676,
    84.800,  932.074,          932.074,
    84.850,  933.792,          933.792,
    84.900,  934.855,          934.855,
    84.950,  935.766,          935.766,
    85.000,  935.629,          935.629,
    85.050,  934.897,          934.897,
    85.100,  933.128,          933.128,
    85.150,  931.252,          931.252,
    85.200,  928.733,          928.733,
    85.250,  926.584,          926.584,
    85.300,  923.758,          923.758,
    85.350,  921.303,          921.303,
    85.400,  918.181,          918.181,
    85.450,  915.831,          915.831,
    85.500,  912.159,          912.159,
    85.550,  908.839,          908.839,
    85.600,  904.896,          904.896,
    85.650,  900.425,          900.425,
    85.700,  895.861,          895.861,
    85.750,  890.714,          890.714,
    85.800,  885.109,          885.109,
    85.850,  879.879,          879.879,
    85.900,  874.377,          874.377,
    85.950,  869.495,          869.495,
    86.000,  864.687,          864.687,
    86.050,  860.143,          860.143,
    86.100,  855.615,          855.615,
    86.150,  850.839,          850.839,
    86.200,  846.494,          846.494,
    86.250,  841.755,          841.755,
    86.300,  836.676,          836.676,
    86.350,  831.810,          831.810,
    86.400,  827.175,          827.175,
    86.450,  824.488,          824.488,
    86.500,  819.716,          819.716,
    86.550,  814.580,          814.580,
    86.600,  809.276,          809.276,
    86.650,  803.735,          803.735,
    86.700,  798.349,          798.349,
    86.750,  793.199,          793.199,
    86.800,  788.746,          788.746,
    86.850,  784.383,          784.383,
    86.900,  780.584,          780.584,
    86.950,  776.229,          776.229,
    87.000,  771.318,          771.318,
    87.050,  766.496,          766.496,
    87.100,  761.864,          761.864,
    87.150,  757.258,          757.258,
    87.200,  752.906,          752.906,
    87.250,  748.647,          748.647,
    87.300,  744.921,          744.921,
    87.350,  741.240,          741.240,
    87.400,  737.504,          737.504,
    87.450,  733.913,          733.913,
    87.500,  730.347,          730.347,
    87.550,  726.527,          726.527,
    87.600,  723.304,          723.304,
    87.650,  719.545,          719.545,
    87.700,  716.039,          716.039,
    87.750,  712.214,          712.214,
    87.800,  708.810,          708.810,
    87.850,  705.981,          705.981,
    87.900,  704.083,          704.083,
    87.950,  702.176,          702.176,
    88.000,  700.444,          700.444,
    88.050,  698.825,          698.825,
    88.100,  696.654,          696.654,
    88.150,  695.389,          695.389,
    88.200,  694.131,          694.131,
    88.250,  692.721,          692.721,
    88.300,  691.137,          691.137,
    88.350,  689.437,          689.437,
    88.400,  687.746,          687.746,
    88.450,  686.759,          686.759,
    88.500,  686.128,          686.128,
    88.550,  684.802,          684.802,
    88.600,  683.038,          683.038,
    88.650,  680.655,          680.655,
    88.700,  678.082,          678.082,
    88.750,  675.699,          675.699,
    88.800,  673.030,          673.030,
    88.850,  670.114,          670.114,
    88.900,  667.326,          667.326,
    88.950,  665.182,          665.182,
    89.000,  662.452,          662.452,
    89.050,  659.904,          659.904,
    89.100,  658.031,          658.031,
    89.150,  655.937,          655.937,
    89.200,  655.162,          655.162,
    89.250,  655.073,          655.073,
    89.300,  654.961,          654.961,
    89.350,  653.956,          653.956,
    89.400,  652.847,          652.847,
    89.450,  651.459,          651.459,
    89.500,  649.442,          649.442,
    89.550,  646.011,          646.011,
    89.600,  642.711,          642.711,
    89.650,  639.007,          639.007,
    89.700,  635.649,          635.649,
    89.750,  631.904,          631.904,
    89.800,  629.356,          629.356,
    89.850,  625.996,          625.996,
    89.900,  622.861,          622.861,
    89.950,  620.899,          620.899,
    90.000,  617.175,          617.175,
    90.050,  616.474,          616.474,
    90.100,  614.214,          614.214,
    90.150,  611.224,          611.224,
    90.200,  607.746,          607.746,
