$SPILLWAY WITHDRAWAL AT SEG396                               ELEV OF WITHDRAWAL CENTERLINE:16.1     

JDAY,QWD(m3s-1)
    80.000,  336.4454
    80.050,  286.3652
    80.100,  325.0430
    80.150,  314.3284
    80.200,  310.4578
    80.250,  307.0475
    80.300,  301.1882
    80.350,  300.2206
    80.400,  359.2630
    80.450,  521.8090
    80.500,  762.6312
    80.550, 1156.4885
    80.600, 1638.9442
    80.650, 2177.4738
    80.700, 2628.1352
    80.750, 2933.0562
    80.800, 3117.6017
    80.850, 3193.2922
    80.900, 3189.2345
    80.950, 3118.0010
    81.000, 2994.0084
    81.050, 2852.9410
    81.100, 2683.4126
    81.150, 2494.5059
    81.200, 2299.8257
    81.250, 2114.5128
    81.300, 1948.4940
    81.350, 1788.0889
    81.400, 1635.2915
    81.450, 1492.9192
    81.500, 1366.4686
    81.550, 1240.1596
    81.600, 1140.0227
    81.650, 1034.3482
    81.700,  933.3061
    81.750,  842.5158
    81.800,  761.6192
    81.850,  694.1001
    81.900,  636.7004
    81.950,  592.1988
    82.000,  559.0869
    82.050,  534.0348
    82.100,  516.0689
    82.150,  503.1414
    82.200,  495.1377
    82.250,  491.9844
    82.300,  493.4778
    82.350,  497.5716
    82.400,  503.1477
    82.450,  508.8281
    82.500,  518.1575
    82.550,  528.6398
    82.600,  540.0811
    82.650,  551.8999
    82.700,  562.9218
    82.750,  574.3091
    82.800,  585.4348
    82.850,  595.0756
    82.900,  605.8358
    82.950,  618.1436
    83.000,  630.2943
    83.050,  641.6050
    83.100,  652.3807
    83.150,  662.8942
    83.200,  673.2698
    83.250,  682.7581
    83.300,  690.9227
    83.350,  701.3137
    83.400,  711.3704
    83.450,  721.3823
    83.500,  731.2957
    83.550,  740.2210
    83.600,  749.9579
    83.650,  759.9281
    83.700,  768.2455
    83.750,  776.3512
    83.800,  785.3414
    83.850,  795.2261
    83.900,  806.5339
    83.950,  817.3034
    84.000,  827.7897
    84.050,  838.0400
    84.100,  848.4039
    84.150,  857.1181
    84.200,  867.0290
    84.250,  876.4884
    84.300,  884.4923
    84.350,  892.1236
    84.400,  898.8982
    84.450,  904.3219
    84.500,  909.3685
    84.550,  913.0092
    84.600,  919.0165
    84.650,  923.3523
    84.700,  927.0851
    84.750,  929.6760
    84.800,  932.0742
    84.850,  933.7917
    84.900,  934.8554
    84.950,  935.7656
    85.000,  935.6293
    85.050,  934.8975
    85.100,  933.1283
    85.150,  931.2516
    85.200,  928.7327
    85.250,  926.5843
    85.300,  923.7579
    85.350,  921.3028
    85.400,  918.1810
    85.450,  915.8309
    85.500,  912.1591
    85.550,  908.8394
    85.600,  904.8957
    85.650,  900.4247
    85.700,  895.8611
    85.750,  890.7137
    85.800,  885.1093
    85.850,  879.8789
    85.900,  874.3774
    85.950,  869.4948
    86.000,  864.6868
    86.050,  860.1431
    86.100,  855.6149
    86.150,  850.8392
    86.200,  846.4942
    86.250,  841.7553
    86.300,  836.6760
    86.350,  831.8101
    86.400,  827.1755
    86.450,  824.4884
    86.500,  819.7160
    86.550,  814.5804
    86.600,  809.2757
    86.650,  803.7351
    86.700,  798.3487
    86.750,  793.1992
    86.800,  788.7456
    86.850,  784.3828
    86.900,  780.5837
    86.950,  776.2293
    87.000,  771.3182
    87.050,  766.4958
    87.100,  761.8644
    87.150,  757.2577
    87.200,  752.9064
    87.250,  748.6468
    87.300,  744.9205
    87.350,  741.2402
    87.400,  737.5044
    87.450,  733.9129
    87.500,  730.3467
    87.550,  726.5274
    87.600,  723.3035
    87.650,  719.5454
    87.700,  716.0391
    87.750,  712.2137
    87.800,  708.8095
    87.850,  705.9808
    87.900,  704.0828
    87.950,  702.1759
    88.000,  700.4443
    88.050,  698.8248
    88.100,  696.6544
    88.150,  695.3892
    88.200,  694.1309
    88.250,  692.7205
