$Temperature file for segment 396
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    80.000,    8.00,            8.00,
    80.050,    8.01,            8.01,
    80.100,    8.01,            8.01,
    80.150,    8.01,            8.01,
    80.200,    8.00,            8.00,
    80.250,    8.07,            8.07,
    80.300,    8.28,            8.28,
    80.350,    8.50,            8.50,
    80.400,    8.68,            8.68,
    80.450,    8.80,            8.80,
    80.500,    8.86,            8.86,
    80.550,    8.76,            8.76,
    80.600,    8.50,            8.50,
    80.650,    9.15,            9.15,
    80.700,    8.64,            8.64,
    80.750,    8.48,            8.48,
    80.800,    9.05,            9.05,
    80.850,   11.61,           11.61,
    80.900,   13.40,           13.40,
    80.950,   12.86,           12.86,
    81.000,   12.62,           12.62,
    81.050,   12.45,           12.45,
    81.100,   12.08,           12.08,
    81.150,   11.92,           11.92,
    81.200,   11.89,           11.89,
    81.250,   11.86,           11.86,
    81.300,   11.81,           11.81,
    81.350,   11.78,           11.78,
    81.400,   11.75,           11.75,
    81.450,   11.74,           11.74,
    81.500,   11.74,           11.74,
    81.550,   11.75,           11.75,
    81.600,   11.76,           11.76,
    81.650,   11.78,           11.78,
    81.700,   11.78,           11.78,
    81.750,   11.78,           11.78,
    81.800,   11.77,           11.77,
    81.850,   11.76,           11.76,
    81.900,   11.74,           11.74,
    81.950,   11.72,           11.72,
    82.000,   11.71,           11.71,
    82.050,   11.70,           11.70,
    82.100,   11.69,           11.69,
    82.150,   11.68,           11.68,
    82.200,   11.66,           11.66,
    82.250,   11.64,           11.64,
    82.300,   11.62,           11.62,
    82.350,   11.61,           11.61,
    82.400,   11.61,           11.61,
    82.450,   11.64,           11.64,
    82.500,   11.66,           11.66,
    82.550,   11.68,           11.68,
    82.600,   11.69,           11.69,
    82.650,   11.70,           11.70,
    82.700,   11.71,           11.71,
    82.750,   11.72,           11.72,
    82.800,   11.71,           11.71,
    82.850,   11.69,           11.69,
    82.900,   11.67,           11.67,
    82.950,   11.65,           11.65,
    83.000,   11.66,           11.66,
    83.050,   11.65,           11.65,
    83.100,   11.63,           11.63,
    83.150,   11.62,           11.62,
    83.200,   11.60,           11.60,
    83.250,   11.60,           11.60,
    83.300,   11.61,           11.61,
    83.350,   11.62,           11.62,
    83.400,   11.64,           11.64,
    83.450,   11.63,           11.63,
    83.500,   11.60,           11.60,
    83.550,   11.60,           11.60,
    83.600,   11.59,           11.59,
    83.650,   11.54,           11.54,
    83.700,   11.53,           11.53,
    83.750,   11.55,           11.55,
    83.800,   11.51,           11.51,
    83.850,   11.42,           11.42,
    83.900,   11.36,           11.36,
    83.950,   11.33,           11.33,
    84.000,   11.31,           11.31,
    84.050,   11.28,           11.28,
    84.100,   11.20,           11.20,
    84.150,   11.10,           11.10,
    84.200,   11.01,           11.01,
    84.250,   10.97,           10.97,
    84.300,   10.97,           10.97,
    84.350,   11.01,           11.01,
    84.400,   11.02,           11.02,
    84.450,   11.00,           11.00,
    84.500,   10.95,           10.95,
    84.550,   10.93,           10.93,
    84.600,   10.95,           10.95,
    84.650,   10.98,           10.98,
    84.700,   11.01,           11.01,
    84.750,   11.03,           11.03,
    84.800,   11.02,           11.02,
    84.850,   10.98,           10.98,
    84.900,   10.92,           10.92,
    84.950,   10.86,           10.86,
    85.000,   10.85,           10.85,
    85.050,   10.84,           10.84,
    85.100,   10.85,           10.85,
    85.150,   10.86,           10.86,
    85.200,   10.85,           10.85,
    85.250,   10.86,           10.86,
    85.300,   10.88,           10.88,
    85.350,   10.89,           10.89,
    85.400,   10.90,           10.90,
    85.450,   10.94,           10.94,
    85.500,   11.00,           11.00,
    85.550,   11.09,           11.09,
    85.600,   11.21,           11.21,
    85.650,   11.33,           11.33,
    85.700,   11.43,           11.43,
    85.750,   11.49,           11.49,
    85.800,   11.52,           11.52,
    85.850,   11.51,           11.51,
    85.900,   11.48,           11.48,
    85.950,   11.46,           11.46,
    86.000,   11.43,           11.43,
    86.050,   11.39,           11.39,
    86.100,   11.37,           11.37,
    86.150,   11.36,           11.36,
    86.200,   11.35,           11.35,
    86.250,   11.33,           11.33,
    86.300,   11.31,           11.31,
    86.350,   11.30,           11.30,
    86.400,   11.30,           11.30,
    86.450,   11.32,           11.32,
    86.500,   11.41,           11.41,
    86.550,   11.53,           11.53,
    86.600,   11.67,           11.67,
    86.650,   11.82,           11.82,
    86.700,   11.98,           11.98,
    86.750,   12.11,           12.11,
    86.800,   12.23,           12.23,
    86.850,   12.33,           12.33,
    86.900,   12.41,           12.41,
    86.950,   12.46,           12.46,
    87.000,   12.50,           12.50,
    87.050,   12.50,           12.50,
    87.100,   12.48,           12.48,
    87.150,   12.47,           12.47,
    87.200,   12.46,           12.46,
    87.250,   12.46,           12.46,
    87.300,   12.47,           12.47,
    87.350,   12.49,           12.49,
    87.400,   12.53,           12.53,
    87.450,   12.57,           12.57,
    87.500,   12.61,           12.61,
    87.550,   12.65,           12.65,
    87.600,   12.68,           12.68,
    87.650,   12.74,           12.74,
    87.700,   12.80,           12.80,
    87.750,   12.85,           12.85,
    87.800,   12.90,           12.90,
    87.850,   12.95,           12.95,
    87.900,   12.99,           12.99,
    87.950,   13.02,           13.02,
    88.000,   13.03,           13.03,
    88.050,   13.03,           13.03,
    88.100,   12.99,           12.99,
    88.150,   12.94,           12.94,
    88.200,   12.90,           12.90,
    88.250,   12.86,           12.86,
    88.300,   12.83,           12.83,
    88.350,   12.85,           12.85,
    88.400,   12.90,           12.90,
    88.450,   12.98,           12.98,
    88.500,   13.09,           13.09,
    88.550,   13.19,           13.19,
    88.600,   13.28,           13.28,
    88.650,   13.37,           13.37,
    88.700,   13.44,           13.44,
    88.750,   13.50,           13.50,
    88.800,   13.53,           13.53,
    88.850,   13.56,           13.56,
    88.900,   13.57,           13.57,
    88.950,   13.58,           13.58,
    89.000,   13.59,           13.59,
    89.050,   13.58,           13.58,
    89.100,   13.55,           13.55,
    89.150,   13.49,           13.49,
    89.200,   13.41,           13.41,
    89.250,   13.34,           13.34,
    89.300,   13.29,           13.29,
    89.350,   13.27,           13.27,
    89.400,   13.30,           13.30,
    89.450,   13.35,           13.35,
    89.500,   13.41,           13.41,
    89.550,   13.47,           13.47,
    89.600,   13.51,           13.51,
    89.650,   13.56,           13.56,
    89.700,   13.61,           13.61,
    89.750,   13.65,           13.65,
    89.800,   13.68,           13.68,
    89.850,   13.71,           13.71,
    89.900,   13.73,           13.73,
    89.950,   13.76,           13.76,
    90.000,   13.80,           13.80,
    90.050,   13.85,           13.85,
    90.100,   13.86,           13.86,
    90.150,   13.83,           13.83,
    90.200,   13.78,           13.78,
    90.250,   13.70,           13.70,
    90.300,   13.61,           13.61,
    90.350,   13.56,           13.56,
    90.400,   13.54,           13.54,
    90.450,   13.54,           13.54,
    90.500,   13.55,           13.55,
    90.550,   13.58,           13.58,
    90.600,   13.63,           13.63,
    90.650,   13.64,           13.64,
    90.700,   13.64,           13.64,
    90.750,   13.63,           13.63,
    90.800,   13.60,           13.60,
    90.850,   13.56,           13.56,
    90.900,   13.54,           13.54,
    90.950,   13.52,           13.52,
    91.000,   13.53,           13.53,
    91.050,   13.53,           13.53,
    91.100,   13.54,           13.54,
    91.150,   13.54,           13.54,
    91.200,   13.51,           13.51,
    91.250,   13.46,           13.46,
    91.300,   13.38,           13.38,
    91.350,   13.27,           13.27,
    91.400,   13.17,           13.17,
    91.450,   13.14,           13.14,
    91.500,   13.16,           13.16,
    91.550,   13.19,           13.19,
    91.600,   13.25,           13.25,
    91.650,   13.28,           13.28,
    91.700,   13.31,           13.31,
    91.750,   13.29,           13.29,
    91.800,   13.26,           13.26,
    91.850,   13.23,           13.23,
    91.900,   13.19,           13.19,
    91.950,   13.13,           13.13,
    92.000,   13.07,           13.07,
    92.050,   13.02,           13.02,
    92.100,   12.99,           12.99,
    92.150,   12.98,           12.98,
    92.200,   12.97,           12.97,
    92.250,   12.93,           12.93,
    92.300,   12.85,           12.85,
    92.350,   12.77,           12.77,
    92.400,   12.67,           12.67,
    92.450,   12.61,           12.61,
    92.500,   12.57,           12.57,
    92.550,   12.56,           12.56,
    92.600,   12.58,           12.58,
    92.650,   12.60,           12.60,
    92.700,   12.61,           12.61,
    92.750,   12.62,           12.62,
    92.800,   12.60,           12.60,
    92.850,   12.58,           12.58,
    92.900,   12.55,           12.55,
    92.950,   12.52,           12.52,
    93.000,   12.50,           12.50,
    93.050,   12.48,           12.48,
    93.100,   12.44,           12.44,
    93.150,   12.35,           12.35,
    93.200,   12.24,           12.24,
    93.250,   12.13,           12.13,
    93.300,   12.02,           12.02,
    93.350,   11.92,           11.92,
    93.400,   11.86,           11.86,
    93.450,   11.84,           11.84,
    93.500,   11.83,           11.83,
    93.550,   11.84,           11.84,
    93.600,   11.86,           11.86,
    93.650,   11.87,           11.87,
    93.700,   11.83,           11.83,
    93.750,   11.76,           11.76,
    93.800,   11.67,           11.67,
    93.850,   11.60,           11.60,
    93.900,   11.54,           11.54,
    93.950,   11.49,           11.49,
    94.000,   11.44,           11.44,
    94.050,   11.39,           11.39,
    94.100,   11.32,           11.32,
    94.150,   11.27,           11.27,
    94.200,   11.21,           11.21,
    94.250,   11.11,           11.11,
    94.300,   10.99,           10.99,
    94.350,   10.89,           10.89,
    94.400,   10.81,           10.81,
    94.450,   10.77,           10.77,
    94.500,   10.75,           10.75,
    94.550,   10.76,           10.76,
    94.600,   10.81,           10.81,
    94.650,   10.83,           10.83,
    94.700,   10.83,           10.83,
    94.750,   10.81,           10.81,
    94.800,   10.77,           10.77,
    94.850,   10.74,           10.74,
    94.900,   10.71,           10.71,
    94.950,   10.68,           10.68,
    95.000,   10.66,           10.66,
    95.050,   10.66,           10.66,
    95.100,   10.68,           10.68,
    95.150,   10.69,           10.69,
    95.200,   10.70,           10.70,
    95.250,   10.69,           10.69,
    95.300,   10.65,           10.65,
    95.350,   10.59,           10.59,
    95.400,   10.55,           10.55,
    95.450,   10.56,           10.56,
    95.500,   10.57,           10.57,
    95.550,   10.62,           10.62,
    95.600,   10.65,           10.65,
    95.650,   10.66,           10.66,
    95.700,   10.64,           10.64,
    95.750,   10.63,           10.63,
    95.800,   10.62,           10.62,
    95.850,   10.61,           10.61,
    95.900,   10.61,           10.61,
    95.950,   10.61,           10.61,
    96.000,   10.62,           10.62,
    96.050,   10.65,           10.65,
    96.100,   10.68,           10.68,
    96.150,   10.71,           10.71,
    96.200,   10.72,           10.72,
    96.250,   10.70,           10.70,
